#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T01:11:46 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T01:11:46	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=1
#-out=track
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	track	(a5)	Evolutionary trask for this mass	[ucd=meta.ref.url]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	track	Zini	logL	logTe
Msun	 	 	[Lsun]	[K]
------	-----	------	-------	-----
  1.00	track	 0.014	 -0.138	3.754
  1.00	track	 0.014	 -0.129	3.755
  1.00	track	 0.014	 -0.127	3.755
  1.00	track	 0.014	 -0.124	3.755
  1.00	track	 0.014	 -0.122	3.755
  1.00	track	 0.014	 -0.120	3.756
  1.00	track	 0.014	 -0.117	3.756
  1.00	track	 0.014	 -0.115	3.756
  1.00	track	 0.014	 -0.112	3.756
  1.00	track	 0.014	 -0.110	3.756
  1.00	track	 0.014	 -0.107	3.756
  1.00	track	 0.014	 -0.105	3.756
  1.00	track	 0.014	 -0.102	3.756
  1.00	track	 0.014	 -0.099	3.757
  1.00	track	 0.014	 -0.097	3.757
  1.00	track	 0.014	 -0.094	3.757
  1.00	track	 0.014	 -0.091	3.757
  1.00	track	 0.014	 -0.088	3.757
  1.00	track	 0.014	 -0.086	3.757
  1.00	track	 0.014	 -0.083	3.757
  1.00	track	 0.014	 -0.080	3.758
  1.00	track	 0.014	 -0.077	3.758
  1.00	track	 0.014	 -0.074	3.758
  1.00	track	 0.014	 -0.072	3.758
  1.00	track	 0.014	 -0.069	3.758
  1.00	track	 0.014	 -0.066	3.758
  1.00	track	 0.014	 -0.063	3.758
  1.00	track	 0.014	 -0.060	3.759
  1.00	track	 0.014	 -0.057	3.759
  1.00	track	 0.014	 -0.054	3.759
  1.00	track	 0.014	 -0.051	3.759
  1.00	track	 0.014	 -0.048	3.759
  1.00	track	 0.014	 -0.045	3.759
  1.00	track	 0.014	 -0.042	3.759
  1.00	track	 0.014	 -0.039	3.760
  1.00	track	 0.014	 -0.036	3.760
  1.00	track	 0.014	 -0.033	3.760
  1.00	track	 0.014	 -0.029	3.760
  1.00	track	 0.014	 -0.026	3.760
  1.00	track	 0.014	 -0.023	3.760
  1.00	track	 0.014	 -0.020	3.761
  1.00	track	 0.014	 -0.017	3.761
  1.00	track	 0.014	 -0.014	3.761
  1.00	track	 0.014	 -0.011	3.761
  1.00	track	 0.014	 -0.008	3.761
  1.00	track	 0.014	 -0.005	3.761
  1.00	track	 0.014	 -0.002	3.762
  1.00	track	 0.014	  0.002	3.762
  1.00	track	 0.014	  0.005	3.762
  1.00	track	 0.014	  0.008	3.762
  1.00	track	 0.014	  0.012	3.762
