#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T01:11:54 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T01:11:55	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=1.1
#-out=track
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	track	(a5)	Evolutionary trask for this mass	[ucd=meta.ref.url]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	track	Zini	logL	logTe
Msun	 	 	[Lsun]	[K]
------	-----	------	-------	-----
  1.10	track	 0.014	  0.064	3.779
  1.10	track	 0.014	  0.069	3.780
  1.10	track	 0.014	  0.072	3.780
  1.10	track	 0.014	  0.074	3.780
  1.10	track	 0.014	  0.077	3.780
  1.10	track	 0.014	  0.079	3.780
  1.10	track	 0.014	  0.082	3.780
  1.10	track	 0.014	  0.084	3.780
  1.10	track	 0.014	  0.087	3.781
  1.10	track	 0.014	  0.089	3.781
  1.10	track	 0.014	  0.092	3.781
  1.10	track	 0.014	  0.094	3.781
  1.10	track	 0.014	  0.097	3.781
  1.10	track	 0.014	  0.100	3.781
  1.10	track	 0.014	  0.103	3.781
  1.10	track	 0.014	  0.105	3.781
  1.10	track	 0.014	  0.107	3.781
  1.10	track	 0.014	  0.111	3.782
  1.10	track	 0.014	  0.113	3.782
  1.10	track	 0.014	  0.116	3.782
  1.10	track	 0.014	  0.119	3.782
  1.10	track	 0.014	  0.121	3.782
  1.10	track	 0.014	  0.124	3.782
  1.10	track	 0.014	  0.126	3.782
  1.10	track	 0.014	  0.129	3.782
  1.10	track	 0.014	  0.132	3.782
  1.10	track	 0.014	  0.135	3.782
  1.10	track	 0.014	  0.137	3.782
  1.10	track	 0.014	  0.140	3.782
  1.10	track	 0.014	  0.143	3.782
  1.10	track	 0.014	  0.145	3.783
  1.10	track	 0.014	  0.148	3.783
  1.10	track	 0.014	  0.151	3.783
  1.10	track	 0.014	  0.153	3.783
  1.10	track	 0.014	  0.156	3.783
  1.10	track	 0.014	  0.159	3.783
  1.10	track	 0.014	  0.162	3.783
  1.10	track	 0.014	  0.164	3.783
  1.10	track	 0.014	  0.167	3.783
  1.10	track	 0.014	  0.170	3.783
  1.10	track	 0.014	  0.173	3.783
  1.10	track	 0.014	  0.176	3.783
  1.10	track	 0.014	  0.178	3.783
  1.10	track	 0.014	  0.181	3.783
  1.10	track	 0.014	  0.184	3.783
  1.10	track	 0.014	  0.186	3.783
  1.10	track	 0.014	  0.189	3.783
  1.10	track	 0.014	  0.192	3.783
  1.10	track	 0.014	  0.194	3.783
  1.10	track	 0.014	  0.197	3.783
  1.10	track	 0.014	  0.200	3.783
  1.10	track	 0.014	  0.203	3.783
  1.10	track	 0.014	  0.205	3.783
