#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:53:03 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:53:03	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=120
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
Msun	 	[Lsun]	[K]
------	------	-------	-----
120.00	 0.014	  6.231	4.730
120.00	 0.014	  6.231	4.725
120.00	 0.014	  6.232	4.722
120.00	 0.014	  6.232	4.720
120.00	 0.014	  6.233	4.718
120.00	 0.014	  6.234	4.717
120.00	 0.014	  6.234	4.715
120.00	 0.014	  6.235	4.714
120.00	 0.014	  6.235	4.712
120.00	 0.014	  6.236	4.711
120.00	 0.014	  6.237	4.709
120.00	 0.014	  6.237	4.708
120.00	 0.014	  6.238	4.707
120.00	 0.014	  6.239	4.705
120.00	 0.014	  6.239	4.704
120.00	 0.014	  6.240	4.702
120.00	 0.014	  6.241	4.701
120.00	 0.014	  6.242	4.699
120.00	 0.014	  6.242	4.698
120.00	 0.014	  6.243	4.696
120.00	 0.014	  6.244	4.694
120.00	 0.014	  6.244	4.692
120.00	 0.014	  6.245	4.691
120.00	 0.014	  6.246	4.689
120.00	 0.014	  6.247	4.687
120.00	 0.014	  6.247	4.685
120.00	 0.014	  6.248	4.683
120.00	 0.014	  6.249	4.681
120.00	 0.014	  6.250	4.679
120.00	 0.014	  6.250	4.677
120.00	 0.014	  6.251	4.675
120.00	 0.014	  6.252	4.673
120.00	 0.014	  6.253	4.670
120.00	 0.014	  6.254	4.668
120.00	 0.014	  6.254	4.665
120.00	 0.014	  6.255	4.663
120.00	 0.014	  6.256	4.660
120.00	 0.014	  6.257	4.657
120.00	 0.014	  6.258	4.655
120.00	 0.014	  6.259	4.652
120.00	 0.014	  6.260	4.649
120.00	 0.014	  6.261	4.646
120.00	 0.014	  6.262	4.642
120.00	 0.014	  6.262	4.639
120.00	 0.014	  6.263	4.635
120.00	 0.014	  6.264	4.632
120.00	 0.014	  6.265	4.629
120.00	 0.014	  6.266	4.627
120.00	 0.014	  6.267	4.625
120.00	 0.014	  6.268	4.622
120.00	 0.014	  6.269	4.620
120.00	 0.014	  6.270	4.617
120.00	 0.014	  6.271	4.615
120.00	 0.014	  6.273	4.612
120.00	 0.014	  6.274	4.609
120.00	 0.014	  6.275	4.606
120.00	 0.014	  6.276	4.602
120.00	 0.014	  6.277	4.600
120.00	 0.014	  6.278	4.596
120.00	 0.014	  6.279	4.593
