#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:52:42 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:52:42	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=85
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
Msun	 	[Lsun]	[K]
------	------	-------	-----
 85.00	 0.014	  5.980	4.713
 85.00	 0.014	  5.981	4.709
 85.00	 0.014	  5.983	4.706
 85.00	 0.014	  5.984	4.704
 85.00	 0.014	  5.986	4.702
 85.00	 0.014	  5.987	4.700
 85.00	 0.014	  5.988	4.699
 85.00	 0.014	  5.990	4.698
 85.00	 0.014	  5.991	4.696
 85.00	 0.014	  5.993	4.695
 85.00	 0.014	  5.994	4.694
 85.00	 0.014	  5.996	4.692
 85.00	 0.014	  5.997	4.691
 85.00	 0.014	  5.999	4.689
 85.00	 0.014	  6.000	4.688
 85.00	 0.014	  6.001	4.687
 85.00	 0.014	  6.003	4.685
 85.00	 0.014	  6.004	4.684
 85.00	 0.014	  6.006	4.682
 85.00	 0.014	  6.007	4.680
 85.00	 0.014	  6.009	4.679
 85.00	 0.014	  6.010	4.677
 85.00	 0.014	  6.012	4.675
 85.00	 0.014	  6.013	4.674
 85.00	 0.014	  6.015	4.672
 85.00	 0.014	  6.016	4.670
 85.00	 0.014	  6.017	4.668
 85.00	 0.014	  6.019	4.666
 85.00	 0.014	  6.020	4.664
 85.00	 0.014	  6.022	4.662
 85.00	 0.014	  6.023	4.659
 85.00	 0.014	  6.025	4.657
 85.00	 0.014	  6.026	4.655
 85.00	 0.014	  6.028	4.652
 85.00	 0.014	  6.029	4.650
 85.00	 0.014	  6.031	4.647
 85.00	 0.014	  6.032	4.644
 85.00	 0.014	  6.034	4.641
 85.00	 0.014	  6.036	4.638
 85.00	 0.014	  6.037	4.636
 85.00	 0.014	  6.039	4.632
 85.00	 0.014	  6.040	4.629
 85.00	 0.014	  6.042	4.626
 85.00	 0.014	  6.043	4.622
 85.00	 0.014	  6.045	4.619
 85.00	 0.014	  6.047	4.615
 85.00	 0.014	  6.048	4.611
 85.00	 0.014	  6.050	4.606
 85.00	 0.014	  6.051	4.603
 85.00	 0.014	  6.053	4.598
 85.00	 0.014	  6.055	4.594
 85.00	 0.014	  6.057	4.589
 85.00	 0.014	  6.058	4.584
 85.00	 0.014	  6.060	4.579
 85.00	 0.014	  6.062	4.573
 85.00	 0.014	  6.064	4.568
 85.00	 0.014	  6.065	4.562
