#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T01:07:53 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T01:07:53	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=10.1
#-out=iso
#iso=iso
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
logAge	iso	Zini	logL	logTe
[yr]	 	 	[Lsun]	[K]
----	---	-----	-------	-----
10.1	iso	0.014	 -0.421	3.703
10.1	iso	0.014	 -0.407	3.704
10.1	iso	0.014	 -0.394	3.706
10.1	iso	0.014	 -0.380	3.708
10.1	iso	0.014	 -0.367	3.709
10.1	iso	0.014	 -0.353	3.711
10.1	iso	0.014	 -0.340	3.712
10.1	iso	0.014	 -0.326	3.714
10.1	iso	0.014	 -0.312	3.716
10.1	iso	0.014	 -0.298	3.717
10.1	iso	0.014	 -0.284	3.719
10.1	iso	0.014	 -0.271	3.720
10.1	iso	0.014	 -0.257	3.722
10.1	iso	0.014	 -0.243	3.723
10.1	iso	0.014	 -0.229	3.725
10.1	iso	0.014	 -0.214	3.726
10.1	iso	0.014	 -0.200	3.728
10.1	iso	0.014	 -0.186	3.729
10.1	iso	0.014	 -0.171	3.731
10.1	iso	0.014	 -0.157	3.732
10.1	iso	0.014	 -0.142	3.733
10.1	iso	0.014	 -0.128	3.735
10.1	iso	0.014	 -0.113	3.736
10.1	iso	0.014	 -0.098	3.737
10.1	iso	0.014	 -0.083	3.738
10.1	iso	0.014	 -0.068	3.740
10.1	iso	0.014	 -0.039	3.742
10.1	iso	0.014	 -0.008	3.743
10.1	iso	0.014	  0.024	3.744
10.1	iso	0.014	  0.090	3.747
10.1	iso	0.014	  0.162	3.747
10.1	iso	0.014	  0.200	3.745
10.1	iso	0.014	  0.220	3.744
10.1	iso	0.014	  0.229	3.742
10.1	iso	0.014	  0.238	3.741
10.1	iso	0.014	  0.247	3.739
10.1	iso	0.014	  0.252	3.738
10.1	iso	0.014	  0.256	3.737
10.1	iso	0.014	  0.260	3.736
10.1	iso	0.014	  0.264	3.734
10.1	iso	0.014	  0.268	3.732
10.1	iso	0.014	  0.271	3.730
10.1	iso	0.014	  0.273	3.730
10.1	iso	0.014	  0.274	3.728
10.1	iso	0.014	  0.276	3.727
10.1	iso	0.014	  0.277	3.726
10.1	iso	0.014	  0.278	3.725
10.1	iso	0.014	  0.279	3.724
10.1	iso	0.014	  0.280	3.722
10.1	iso	0.014	  0.281	3.720
10.1	iso	0.014	  0.282	3.719
10.1	iso	0.014	  0.283	3.717
10.1	iso	0.014	  0.283	3.715
10.1	iso	0.014	  0.284	3.713
10.1	iso	0.014	  0.284	3.712
10.1	iso	0.014	  0.285	3.710
10.1	iso	0.014	  0.286	3.709
10.1	iso	0.014	  0.286	3.708
10.1	iso	0.014	  0.287	3.707
10.1	iso	0.014	  0.288	3.706
10.1	iso	0.014	  0.290	3.705
10.1	iso	0.014	  0.291	3.704
10.1	iso	0.014	  0.292	3.702
10.1	iso	0.014	  0.294	3.701
10.1	iso	0.014	  0.296	3.700
10.1	iso	0.014	  0.297	3.699
10.1	iso	0.014	  0.300	3.698
10.1	iso	0.014	  0.302	3.696
10.1	iso	0.014	  0.305	3.695
10.1	iso	0.014	  0.308	3.694
10.1	iso	0.014	  0.312	3.693
10.1	iso	0.014	  0.316	3.692
10.1	iso	0.014	  0.320	3.690
10.1	iso	0.014	  0.331	3.688
10.1	iso	0.014	  0.343	3.687
10.1	iso	0.014	  0.357	3.685
10.1	iso	0.014	  0.372	3.684
