"Departure","Arrival","Date","DepartureHour","GMTDepartureHour","ArrivalHour","GMTArrivalHour","FlightCount","% On-TimeGateDepartures","% On-TimeAirportDepartures","% On-TimeGateArrivals","ArrivalsWithEDCT","AverageEDCTWhereEDCT>0","GateDepartureDelay","TaxiOutDelay","AverageTaxiOutTime","AirportDepartureDelay","AirborneDelay","TaxiInDelay","BlockDelay","GateArrivalDelay"
" DAB"," ATL","06/05/2023","6","10","7","11","1","100.00","100.00","100.00","0","0.00","0.00","0.00","12.00","0.00","0.00","1.90","0.00","0.00"
" DAB"," ATL","06/05/2023","11","15","13","17","1","100.00","100.00","100.00","0","0.00","0.00","0.00","11.00","0.00","1.00","0.90","0.00","0.00"
" DAB"," ATL","06/05/2023","15","19","16","20","1","100.00","100.00","100.00","0","0.00","0.00","4.90","18.00","0.00","1.00","2.90","0.00","0.00"
" DAB"," ATL","06/05/2023","19","23","21","1","1","100.00","100.00","100.00","0","0.00","0.00","0.00","12.00","0.00","0.00","2.90","0.00","0.00"
" DAB"," ATL","06/06/2023","6","10","7","11","1","100.00","100.00","100.00","0","0.00","0.00","0.00","10.00","0.00","3.00","0.00","0.00","0.00"
" DAB"," ATL","06/06/2023","11","15","13","17","1","100.00","100.00","100.00","0","0.00","0.00","1.90","15.00","0.00","0.00","0.00","0.00","0.00"
" DAB"," ATL","06/06/2023","15","19","16","20","1","100.00","100.00","100.00","0","0.00","0.00","0.00","12.00","0.00","0.00","0.00","0.00","0.00"
" DAB"," ATL","06/06/2023","19","23","21","1","1","100.00","100.00","100.00","0","0.00","0.00","5.90","19.00","2.00","2.00","1.90","0.00","0.00"
" DAB"," ATL","06/07/2023","6","10","7","11","1","100.00","100.00","100.00","0","0.00","1.00","0.00","10.00","0.00","0.00","0.90","0.00","0.00"
" DAB"," ATL","06/07/2023","11","15","13","17","1","100.00","100.00","100.00","0","0.00","0.00","5.90","19.00","0.00","0.00","0.90","0.00","0.00"
" DAB"," ATL","06/07/2023","15","19","16","20","1","0.00","0.00","0.00","0","0.00","229.00","0.00","10.00","226.00","0.00","0.00","0.00","209.00"
" DAB"," ATL","06/07/2023","19","23","21","1","1","100.00","100.00","100.00","0","0.00","0.00","0.90","14.00","0.00","0.00","0.00","0.00","0.00"
" DAB"," ATL","06/08/2023","6","10","7","11","1","100.00","100.00","100.00","0","0.00","0.00","0.00","10.00","0.00","0.00","0.00","0.00","0.00"
" DAB"," ATL","06/08/2023","11","15","13","17","1","100.00","100.00","100.00","0","0.00","2.00","0.00","10.00","0.00","0.00","0.00","0.00","0.00"
" DAB"," ATL","06/08/2023","15","19","16","20","1","100.00","100.00","100.00","0","0.00","0.00","2.90","16.00","0.00","0.00","0.90","0.00","0.00"
" DAB"," ATL","06/08/2023","19","23","21","1","1","0.00","0.00","0.00","0","0.00","83.00","2.90","16.00","86.00","0.00","5.90","0.00","79.00"
" DAB"," ATL","06/09/2023","6","10","7","11","1","100.00","100.00","100.00","0","0.00","7.00","5.90","19.00","13.00","0.00","4.90","4.00","11.00"
" DAB"," ATL","06/09/2023","11","15","13","17","1","100.00","100.00","100.00","0","0.00","1.00","0.00","9.00","0.00","3.00","2.90","0.00","0.00"
" DAB"," ATL","06/09/2023","15","19","16","20","1","100.00","100.00","100.00","0","0.00","0.00","7.90","21.00","0.00","2.00","0.00","0.00","0.00"
" DAB"," ATL","06/09/2023","19","23","21","1","1","100.00","100.00","100.00","0","0.00","10.00","2.90","16.00","13.00","0.00","5.90","9.00","14.00"
" DAB"," ATL","06/10/2023","6","10","7","11","1","100.00","100.00","100.00","0","0.00","2.00","0.00","9.00","0.00","0.00","3.90","0.00","1.00"
" DAB"," ATL","06/10/2023","11","15","13","17","1","100.00","100.00","100.00","0","0.00","0.00","1.90","15.00","0.00","0.00","1.90","0.00","0.00"
" DAB"," ATL","06/10/2023","15","19","16","20","1","100.00","100.00","100.00","0","0.00","0.00","0.00","12.00","0.00","0.00","0.00","0.00","0.00"
