#############<<<<<< Data file for CW 10 >>>>>>##############
#x1	 y1	 x2	 y2	 x3	 y3	 
#===========================================================
10.0 	8.04   10.0 	9.14    10.0 	 7.46 	
8.0 	6.95 	8.0 	8.14 	 8.0 	 6.77 	
13.0 	7.58   13.0 	8.74 	13.0 	12.74 	
9.0 	8.81    9.0 	8.77 	 9.0 	 7.11 	
11.0 	8.33   11.0 	9.26 	11.0 	 7.81 	
14.0 	9.96   14.0 	8.10 	14.0 	 8.84 	
6.0 	7.24 	6.0 	6.13 	 6.0 	 6.08 	
4.0 	4.26 	4.0 	3.10 	 4.0 	 5.39 	
12.0   10.84   12.0 	9.13 	12.0 	 8.15 	
7.0 	4.82 	7.0 	7.26 	 7.0 	 6.42 	
5.0 	5.68 	5.0 	4.74 	 5.0 	 5.73 	
