 #------------ Data file for Lab 5
 Date  T  H
 500501 89 60
 530105 56 18
 540225 13 30
 561019 32 5
 570325 30 82
 570618 17 24
 641007 10 87
 650923 50 0
 660422 -13 98
 661001 -13 43
 681109 85 74
 691012 -5 32
 731109 -16 60
 760717 43 36
 770808 88 68
 780117 38 24
 780918 9  0
 790711 53 28
 790815 -7 82
 801115 49 51
 811014 95 15
 820311 42 67
 820409 80 18
 821010 -4 25
 841013 21 11
 841108 -26 11
 850112 40 81
 851213 -10 47
 880520 92 91
 881227 57 12
 890325 36 29
 910822 3 22
 930209 60 4
 930405 28 46
 930910 51 31
 931126 29 57
 960202 -16 48
 961122 -15 44
 970414 -22 86
 990821 7 89
