#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:50:07 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:50:07	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=1.25
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
Msun	 	[Lsun]	[K]
------	------	-------	-----
  1.25	 0.014	  0.295	3.804
  1.25	 0.014	  0.299	3.804
  1.25	 0.014	  0.303	3.804
  1.25	 0.014	  0.306	3.804
  1.25	 0.014	  0.309	3.804
  1.25	 0.014	  0.312	3.805
  1.25	 0.014	  0.314	3.805
  1.25	 0.014	  0.317	3.805
  1.25	 0.014	  0.320	3.805
  1.25	 0.014	  0.323	3.805
  1.25	 0.014	  0.326	3.805
  1.25	 0.014	  0.329	3.805
  1.25	 0.014	  0.332	3.805
  1.25	 0.014	  0.335	3.805
  1.25	 0.014	  0.338	3.805
  1.25	 0.014	  0.340	3.805
  1.25	 0.014	  0.343	3.805
  1.25	 0.014	  0.346	3.805
  1.25	 0.014	  0.349	3.805
  1.25	 0.014	  0.351	3.805
  1.25	 0.014	  0.354	3.805
  1.25	 0.014	  0.357	3.805
  1.25	 0.014	  0.360	3.805
  1.25	 0.014	  0.362	3.806
  1.25	 0.014	  0.365	3.806
  1.25	 0.014	  0.368	3.806
  1.25	 0.014	  0.370	3.806
  1.25	 0.014	  0.373	3.806
  1.25	 0.014	  0.376	3.806
  1.25	 0.014	  0.378	3.806
  1.25	 0.014	  0.381	3.806
  1.25	 0.014	  0.383	3.806
  1.25	 0.014	  0.386	3.806
  1.25	 0.014	  0.388	3.806
  1.25	 0.014	  0.391	3.806
  1.25	 0.014	  0.393	3.806
  1.25	 0.014	  0.395	3.806
  1.25	 0.014	  0.397	3.806
  1.25	 0.014	  0.400	3.806
  1.25	 0.014	  0.403	3.806
  1.25	 0.014	  0.405	3.806
  1.25	 0.014	  0.407	3.806
  1.25	 0.014	  0.410	3.806
  1.25	 0.014	  0.413	3.806
  1.25	 0.014	  0.416	3.806
  1.25	 0.014	  0.419	3.806
  1.25	 0.014	  0.423	3.806
  1.25	 0.014	  0.426	3.805
  1.25	 0.014	  0.431	3.805
  1.25	 0.014	  0.434	3.805
  1.25	 0.014	  0.438	3.804
  1.25	 0.014	  0.442	3.804
  1.25	 0.014	  0.445	3.804
  1.25	 0.014	  0.448	3.803
  1.25	 0.014	  0.451	3.803
  1.25	 0.014	  0.453	3.802
  1.25	 0.014	  0.456	3.802
