#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:51:43 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:51:43	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=7
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
Msun	 	[Lsun]	[K]
------	------	-------	-----
  7.00	 0.014	  3.220	4.332
  7.00	 0.014	  3.222	4.328
  7.00	 0.014	  3.226	4.326
  7.00	 0.014	  3.230	4.325
  7.00	 0.014	  3.234	4.323
  7.00	 0.014	  3.239	4.322
  7.00	 0.014	  3.243	4.321
  7.00	 0.014	  3.247	4.320
  7.00	 0.014	  3.252	4.320
  7.00	 0.014	  3.256	4.319
  7.00	 0.014	  3.261	4.318
  7.00	 0.014	  3.265	4.318
  7.00	 0.014	  3.270	4.317
  7.00	 0.014	  3.274	4.316
  7.00	 0.014	  3.278	4.315
  7.00	 0.014	  3.283	4.315
  7.00	 0.014	  3.287	4.314
  7.00	 0.014	  3.291	4.313
  7.00	 0.014	  3.296	4.313
  7.00	 0.014	  3.300	4.312
  7.00	 0.014	  3.304	4.311
  7.00	 0.014	  3.308	4.311
  7.00	 0.014	  3.313	4.310
  7.00	 0.014	  3.317	4.309
  7.00	 0.014	  3.321	4.309
  7.00	 0.014	  3.325	4.308
  7.00	 0.014	  3.329	4.307
  7.00	 0.014	  3.333	4.306
  7.00	 0.014	  3.337	4.306
  7.00	 0.014	  3.341	4.305
  7.00	 0.014	  3.345	4.304
  7.00	 0.014	  3.349	4.303
  7.00	 0.014	  3.353	4.302
  7.00	 0.014	  3.357	4.301
  7.00	 0.014	  3.361	4.300
  7.00	 0.014	  3.365	4.300
  7.00	 0.014	  3.368	4.299
  7.00	 0.014	  3.372	4.298
  7.00	 0.014	  3.376	4.297
  7.00	 0.014	  3.380	4.296
  7.00	 0.014	  3.383	4.295
  7.00	 0.014	  3.387	4.294
  7.00	 0.014	  3.390	4.293
  7.00	 0.014	  3.394	4.292
  7.00	 0.014	  3.397	4.291
  7.00	 0.014	  3.401	4.289
  7.00	 0.014	  3.404	4.288
  7.00	 0.014	  3.408	4.287
  7.00	 0.014	  3.411	4.286
  7.00	 0.014	  3.415	4.285
  7.00	 0.014	  3.418	4.284
  7.00	 0.014	  3.421	4.282
  7.00	 0.014	  3.425	4.281
  7.00	 0.014	  3.428	4.280
  7.00	 0.014	  3.431	4.279
  7.00	 0.014	  3.434	4.277
  7.00	 0.014	  3.437	4.276
