Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)	Y(IJ)	X(FITS)	Y(FITS)	Source-Sky	N_Src_Pixels	Source_Error	Source_SNR	Peak	Mean	Sky/Pixel	N_Sky_Pixels	FWHM	Width	X-Width	Y-Width	Angle	Roundness
HD213306-010_r30s_out.fits	10	0	60631.489178240765	2460631.4891782408	2460631.4890046297	2460631.4914837508	2460631.4922642787	6.985894994055127	7.7618860304519295	-19.96875	30	22.486184166666668	58.415194444444445	65	70	90	2393.961681469057	1585.1020503615898	2394.461681469057	2511.39794963841	257483340.0323151	13273.228961416873	17646.08629795367	14591.526737697877	47312	19398.69648755231	1497.1634416924664	7752	79.66337376984671	63.81370708486365	56.72945771484974	70.89795645487756	276.98411356066697	0.9489198372864012
HD213306-009_r30s_out.fits	9	0	60631.48795138905	2460631.487951389	2460631.487777778	2460631.4902569377	2460631.491037465	6.810548480162001	7.987082735643812	-19.9375	30	22.486184166666668	58.415194444444445	65	70	90	2388.283480334243	1577.849729311743	2388.783480334243	2518.650270688257	303594540.9607551	13273.22896141687	18840.17314427749	16114.211829999495	47252	22872.69675248241	1449.643153526971	7953	86.70449878025286	67.39559494588708	59.68414750663327	75.1070423851409	275.15197837507566	0.9472899873279084
HD213306-008_r30s_out.fits	8	0	60631.486712962855	2460631.486712963	2460631.4865393518	2460631.48901855	2460631.4897990776	6.6422032088364364	8.21404530863378	-19.96875	30	22.486184166666668	58.415194444444445	65	70	90	2386.9264216050874	1575.7687896233836	2387.4264216050874	2520.731210376616	302502556.3225442	13273.2289614169	18801.66717176442	16089.1347325215	47173	22790.427046943103	1437.6271421370968	7936	86.17309230291764	67.51984382020872	59.483289444457846	75.55639819595959	274.20781664732436	0.9436983284703815
HD213306-007_r30s_out.fits	7	0	60631.48547453713	2460631.485474537	2460631.485300926	2460631.487780163	2460631.4885606905	6.481964701998638	8.440636572232302	-19.9375	30	22.486184166666668	58.415194444444445	65	70	90	2384.4332267816203	1572.116667842329	2384.9332267816203	2524.3833321576712	298810564.19434875	13273.22896141688	18706.491027773605	15973.629888721698	47274	22512.27377022897	1420.9001288659795	7760	85.90184622108146	67.11864408824418	59.689854889438564	74.5474332870498	276.13298470752545	0.9499168259424532
HD213306-006_r30s_out.fits	6	0	60631.48423611093	2460631.484236111	2460631.4840625	2460631.4865417755	2460631.487322303	6.329292181023402	8.666845796368245	-19.9375	30	22.486184166666668	58.415194444444445	65	70	90	2382.639827185604	1568.9536923347152	2383.139827185604	2527.546307665285	304884585.7895451	13273.228961416875	18880.567543449677	16148.06255627205	47267	22969.88823712717	1439.8695429522468	7811	87.04617899509743	67.72514086456434	60.35497740592938	75.09530432319929	274.2686998754905	0.9526885003887496
HD213306-005_r30s_out.fits	5	0	60631.482997685205	2460631.482997685	2460631.482824074	2460631.4853033884	2460631.486083916	6.183690610466085	8.892661879600123	-19.9375	30	22.486184166666668	58.415194444444445	65	70	90	2379.5051027288932	1564.7959469322043	2380.0051027288932	2531.704053067796	296917617.97603315	13273.228961416873	18678.192237538577	15896.485816186307	47248	22369.6599251866	1463.6841574167508	7928	85.80144732210913	66.91848507867287	59.668675974658484	74.16829418268726	276.2477265737963	0.9518820326372797
HD213306-004_r30s_out.fits	4	0	60631.48175925948	2460631.4817592595	2460631.4815856484	2460631.4840650014	2460631.4848455293	6.044705692351475	9.11807394416186	-19.9375	30	22.486184166666668	58.415194444444445	65	70	90	2378.700589759323	1560.0089429989794	2379.200589759323	2536.4910570010206	296016172.46178234	13273.228961416857	18665.0140243872	15859.413342792866	47232	22301.74536446661	1463.3929985946083	7827	85.64932662207855	66.8766310085207	58.71005391787333	75.04320809916807	276.2506250232674	0.939245859221862
HD213306-003_r30s_out.fits	3	0	60631.480520833284	2460631.4805208333	2460631.480347222	2460631.4828266143	2460631.4836071418	5.911920005214639	9.343071079409762	-19.96875	30	22.486184166666668	58.415194444444445	65	70	90	2376.9515706514508	1556.3523373597304	2377.4515706514508	2540.1476626402696	299577999.57385737	13273.228961416879	18754.68442655819	15973.50255329437	47245	22570.092058585138	1451.9888160431933	7779	85.92626431740406	67.1058597732876	59.5626580604489	74.64906148612631	276.4115159975425	0.9481580391380549
HD213306-002_r30s_out.fits	2	0	60631.479282407556	2460631.4792824076	2460631.4791087965	2460631.481588227	2460631.4823687547	5.784949569474977	9.567642088016392	-19.96875	30	22.486184166666668	58.415194444444445	65	70	90	2377.5591332182616	1553.5106308296724	2378.0591332182616	2542.9893691703273	304660562.335953	13273.22896141689	18907.14147411607	16113.51788703936	47272	22953.010395703375	1451.9736428009442	7626	87.00633020648688	67.63971672005043	59.87472725459543	75.40470618550543	275.77384620331117	0.9465031855848669
HD213306-001_r30s_out.fits	1	0	60631.47804398136	2460631.4780439814	2460631.4778703703	2460631.4803498397	2460631.481130367	5.663440335455787	9.791776077106135	-19.9375	30	22.486184166666668	58.415194444444445	65	70	90	2376.553917300707	1550.2308149028265	2377.053917300707	2546.2691850971732	299994535.3640204	13273.228961416862	18773.60905384527	15979.587862067181	47262	22601.47370591257	1458.5062459755313	7765	85.80122864518316	67.41537266640438	58.93467483277732	75.89607050003143	275.85300718819104	0.9360230853732601
