Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	N_Src_Pixels_C2	N_Sky_Pixels_C2	N_Src_Pixels_C3	N_Sky_Pixels_C3	N_Src_Pixels_C4	N_Sky_Pixels_C4
HD213306-001_r30s_out.fits	1	0	60631.47804398136	2460631.4780439814	2460631.4778703703	2460631.4803498397	2460631.481130367	1.1558171714630434	59.85902928103285	-19.9375	30	22.486184166666668	58.415194444444445	40.048021987202446	74	129	193	2.4790660496181642	2.5771535670885033	0.1164079511632135	0.2125353765718497	0.0002834718735016	0.0005998340904507	0.000043049104078	0.0000573488716645	8745.368699176357	4296.44398028824	2704.073723634163	3706.0079893994566	127704497.37132692	12614.467092614317	2376.230763312892	1549.138960212249	2376.730763312892	2547.361039787751	316587883.8168087	17203.361371057767	18235.72815574347	17360.85782333277	47261.5	18402.675906664568	685.7350442224224	48844	86.68276095343234	70.01063941973925	62.010120435844456	78.01115840363404	276.5443625402762	0.9463508866403295	2435.0089575394823	1381.844088183623	2435.5089575394823	2714.655911816377	92004465.21551777	10298.00930678479	8934.199074271675	46796	5348.051652876541	526.9324332950338	46.87844111913626	55.93590528467185	47.48234338179311	64.38946718755058	273.03324756234036	0.9116878477448295	3960.850472986593	1824.2958508278896	3961.350472986593	2272.20414917211	13315758.704365265	4732.469809325399	2813.701775366083	18990	774.0207519425362	382.7318609208817	12.441888963429848	53.40729021547965	42.28797891360538	64.52660151735392	276.02445056895186	0.8334645792906233	3476.0109264124712	3731.4511043135685	3476.5109264124712	365.0488956864315	22384273.451443873	5538.909084995614	4041.2783650991446	43774.5	1301.1569639583552	367.9547839255774	14.188996912811339	51.05479638073429	44.03633764645422	58.07325511501436	274.03064590845844	0.9257263579566432	17203.361371057737	31332	17203.361371057705	45413	17203.361371057694	55467
HD213306-002_r30s_out.fits	2	0	60631.479282407556	2460631.4792824076	2460631.4791087965	2460631.481588227	2460631.4823687547	1.15501828720392	59.927589355383596	-19.96875	30	22.486184166666668	58.415194444444445	40.62979665220917	74	129	193	2.5008886572168914	2.590230496270903	0.1156830969577827	0.211894281025916	0.0002844006126763	0.0006004185375918	0.0000426489784449	0.0000569269629043	8793.541735662024	4314.041512875014	2712.447077889546	3722.212993906346	128390846.99202603	12621.898495468096	2377.209364476076	1552.5330411748291	2377.709364476076	2543.966958825171	321091212.93282735	17203.361371057716	18354.672349691384	17493.704426612996	47271.5	18664.446209507583	680.9832147418355	49329	87.75051031786751	70.1807075753496	62.84923542647576	77.51217972422343	276.6000561905539	0.9549352098173086	2436.2574272150855	1385.1524646649684	2436.7574272150855	2711.3475353350314	92629675.91251376	10318.192958575164	8977.315726154531	46788	5384.394009670133	520.5526074153817	47.19584780509555	56.04853725931367	47.96488763217505	64.13218688645229	272.517562748579	0.9195321448907556	3962.1214781407525	1827.3272129253864	3962.6214781407525	2269.1727870746136	13312607.1745375	4717.411272298594	2822.0153821888066	19085.5	773.837559265255	376.26789510985117	13.584159095727241	53.37191265932785	42.85745700522381	63.886368313431895	275.4473392651205	0.8508121395917703	3477.090336971185	3734.9640243130566	3477.590336971185	361.5359756869434	22448563.90497478	5531.11621533121	4058.5955946381314	43774.5	1304.8940506906579	361.0415612119459	13.988669390146375	51.29049049053991	44.5761841414213	58.004796839658525	272.57581726465077	0.9332047434004899	17203.361371057723	31583	17203.361371057752	45152	17203.361371057785	55316
HD213306-003_r30s_out.fits	3	0	60631.480520833284	2460631.4805208333	2460631.480347222	2460631.4828266143	2460631.4836071418	1.1542568124442643	59.9931596378946	-19.96875	30	22.486184166666668	58.415194444444445	39.66155662352898	74	129	193	2.4875564978720077	2.542109960319291	0.1177006909798438	0.2150838273669073	0.0002848337863108	0.0005895483072784	0.0000432874944622	0.0000577800763177	8733.361761928194	4311.9621054546005	2719.0460534177755	3722.456616088833	127005166.82476965	12564.910502314353	2376.661042589236	1555.3383076691027	2377.161042589236	2541.1616923308975	315932527.9982741	17203.36137105774	18213.29246817892	17346.261174373107	47245	18364.581268971455	679.6517426109629	49093	86.56430681297779	69.69871588260986	62.6189195643154	76.77851220090432	277.2199942461511	0.956886041225181	2436.58758490874	1387.8993010737559	2437.08758490874	2708.600698926244	91149372.3272659	10245.72233464729	8896.334426225083	46788.5	5298.346663845127	518.9872366869563	46.78516911520189	56.24673484316991	48.45479814694676	64.03867153939306	271.97943430563987	0.925745953516075	3962.468895820499	1830.2916976033068	3962.968895820499	2266.2083023966934	13374417.6897492	4724.036289047431	2831.142030123155	20195.5	777.4304917090099	374.6967366124643	12.008645052284026	53.37621663652696	43.075976941498084	63.67645633155583	275.64074195722907	0.8560377842625573	3477.497044792984	3737.4356353192975	3477.997044792984	359.0643646807025	22481376.807754546	5530.427733208545	4065.0340068202468	43678.5	1306.8014048450077	359.5670893143382	13.288105513652212	51.295113666072666	44.80416304693463	57.786064285210706	271.92890100126783	0.9376700610033807	17203.361371057737	31379	17203.361371057734	44463	17203.361371057705	55523
HD213306-004_r30s_out.fits	4	0	60631.48175925948	2460631.4817592595	2460631.4815856484	2460631.4840650014	2460631.4848455293	1.1535326472976373	60.055718454375025	-19.9375	30	22.486184166666668	58.415194444444445	39.482427220061695	74	129	193	2.5059506204382984	2.5396015068169326	0.1176416141540179	0.2154491549732435	0.0002904589655431	0.0005985408541332	0.0000441127906294	0.0000587644292561	8627.554724479163	4242.987741404797	2666.8368170650774	3666.3191951408044	124613569.50055602	12503.379844176308	2378.38207048878	1558.9916126206786	2378.88207048878	2537.5083873793214	312275451.8049494	17203.361371057727	18120.145749315718	17233.60596129543	47231.5	18152.00210409517	691.3622389732097	49085	86.39536724434087	69.50623194697586	61.86343995856147	77.14902393539025	276.87929065438846	0.949954499801707	2437.4697836717896	1391.8357286200612	2437.9697836717896	2704.664271379939	89408033.15400338	10175.596166726047	8786.515471827142	46798	5197.125795684333	530.5207868392527	46.45256341351546	55.922137025341335	47.442388572435945	64.40188547824673	272.9806647197524	0.9111570749800482	3963.3163021093005	1833.8744948953108	3963.8163021093005	2262.625505104689	13116674.679866653	4726.158366502907	2775.3354125482383	19522	762.448360931	386.6808133799659	11.840457946234244	53.058820700031774	42.21557175950311	63.90206964056044	275.8319330465333	0.8395097915515776	3478.1767063017355	3741.0124850104935	3478.6767063017355	355.4875149895065	22088861.666685984	5518.620957648671	4002.605331332164	43754.5	1283.9852160431558	371.2237396471012	13.241320276156198	50.71261558921569	43.73552212646937	57.689709051962	273.0646584872996	0.9262318000019532	17203.361371057705	31366	17203.361371057737	44604	17203.361371057686	55540
HD213306-005_r30s_out.fits	5	0	60631.482997685205	2460631.482997685	2460631.482824074	2460631.4853033884	2460631.486083916	1.1528456979558384	60.115244859729216	-19.9375	30	22.486184166666668	58.415194444444445	39.466768297937186	74	129	193	2.4730006550456394	2.544511444947412	0.1172601226961319	0.2153223580628121	0.0002838204552382	0.0005911179563649	0.000043283620758	0.0000578923213882	8713.257305467094	4304.574776572236	2709.1107592809844	3719.3595437082763	126615378.30367216	12545.114776343347	2379.157860393401	1563.8386263519942	2379.657860393401	2532.661373648006	313119913.4838327	17203.36137105773	18135.743837979702	17265.34716641178	47247.5	18201.089120328168	681.4885274937606	49684	86.30425952718808	69.49660334891018	62.75594503757996	76.23726166024039	276.88645639181806	0.9608488055053919	2438.5472542662933	1395.7839715179414	2439.0472542662933	2700.7160284820584	90893846.5015508	10231.47938697024	8883.744282112697	46848	5283.493413936376	517.0453179449471	46.80547821818441	56.073568929957844	48.267918496545256	63.87921936337043	272.9152008796604	0.9246303553353141	3964.464927848697	1837.994649018863	3964.964927848697	2258.505350981137	13288700.181366593	4711.920392449597	2820.2301980017464	20583.5	772.4478893830044	373.7784693717336	11.973874195507952	53.37881399343496	43.15278350487292	63.604844481997006	276.05595937469366	0.8571162057421098	3479.3912087692966	3744.9471530270057	3479.8912087692966	351.5528469729943	22432831.620754775	5522.186208454843	4062.309884880119	43779.5	1303.9795617207092	358.1736915611739	12.7834612508683	51.251969147576425	44.91821548609892	57.58572280905393	271.8968120504435	0.9404747063843778	17203.361371057694	31279	17203.361371057654	44583	17203.361371057683	55849
HD213306-006_r30s_out.fits	6	0	60631.48423611093	2460631.484236111	2460631.4840625	2460631.4865417755	2460631.487322303	1.1521958747211767	60.17171883515553	-19.9375	30	22.486184166666668	58.415194444444445	40.9815192355076	74	129	193	2.484232739628218	2.614524756699265	0.1143673564131461	0.2107002058038894	0.0002813801866309	0.0006042848181805	0.000042199873903	0.0000563710514948	8828.740819931527	4326.643129264053	2710.135027326389	3737.7377256020736	129253135.07836394	12640.238554800675	2382.2720143191905	1567.9273811126152	2382.7720143191905	2528.572618887385	321094869.8612602	17203.361371057723	18348.91275691704	17499.394875056896	47267	18664.658780083402	673.2610054047537	49771	87.70283214994362	70.17494382420495	63.278682600530665	77.07120504787922	274.88159320053757	0.9609836321866854	2441.420952796837	1399.3071652412307	2441.920952796837	2697.192834758769	93493763.16126683	10350.855842375795	9032.466936551165	46768.5	5434.6218244625825	511.48402893355524	47.53456527651228	55.537672827646865	47.97866849653027	63.09667715876346	271.6846262762401	0.9283240854860606	3967.2395612349237	1841.6177025426314	3967.7395612349237	2254.8822974573686	13265230.071530636	4707.209029389235	2818.066924309034	17410.5	771.0836147316869	369.5989420561613	14.276134502550471	53.30628581732935	43.36497620096767	63.247595433691046	275.3402827864013	0.8654530706262336	3482.1748306066456	3748.591059822485	3482.6748306066456	347.908940177515	22494141.845566466	5520.651882365052	4074.5445148281938	43779.5	1307.543413196556	354.2455129705305	14.412545013024008	51.072163968501286	44.99592868923491	57.148399247767664	271.0588342850602	0.9448753773047885	17203.361371057723	31244	17203.361371057694	43197	17203.36137105762	55549
HD213306-007_r30s_out.fits	7	0	60631.48547453713	2460631.485474537	2460631.485300926	2460631.487780163	2460631.4885606905	1.1515830928610227	60.225121241330406	-19.9375	30	22.486184166666668	58.415194444444445	39.90706358075389	74	129	193	2.4825841661971824	2.5522906260312177	0.1166755527209965	0.2151019090207418	0.0002849445020145	0.0005945096711378	0.0000433435850001	0.0000579093059208	8712.518222481967	4293.101945922279	2691.8759193690926	3714.4618744879576	126636416.32762791	12558.238257667761	2384.0735394556837	1571.1348066024025	2384.5735394556837	2525.3651933975975	314385562.0389234	17203.36137105769	18168.167090259394	17304.198077717854	47274	18274.658961000157	678.0221347366729	49786	86.42137457390632	69.56937996300584	62.67993712064706	76.45882280536463	276.6771099311863	0.9593627204403071	2443.552022550259	1402.9599291225493	2444.052022550259	2693.5400708774505	90987188.92499505	10239.70062657557	8885.72744879394	46784	5288.9192386592695	517.8427117000647	47.17840240442732	56.06573240788215	48.327123315097595	63.804341500666716	272.9934182176663	0.9258094083327861	3969.2878505269387	1845.1607328430005	3969.7878505269387	2251.3392671569995	13231572.799842486	4724.169355876294	2800.8252463227245	20245.5	769.1271789536897	376.2401787180149	12.883339831421381	53.36585077891793	43.099630225276776	63.63207133255909	276.38486777377307	0.8552749221318086	3484.1262638344174	3752.273531095912	3484.6262638344174	344.22646890408805	22417654.60279037	5526.310081008613	4056.5321659798897	43767.5	1303.0973493648144	360.751026555972	13.145137513260547	50.85531373060607	44.527751543452574	57.18287591775956	272.91916360045207	0.9393216565045722	17203.361371057752	30940	17203.361371057697	42637	17203.361371057734	55769
HD213306-008_r30s_out.fits	8	0	60631.486712962855	2460631.486712963	2460631.4865393518	2460631.48901855	2460631.4897990776	1.1510072732124736	60.27543379136236	-19.96875	30	22.486184166666668	58.415194444444445	39.78984113400653	74	129	193	2.4907675034454715	2.562306871475897	0.1161711973671288	0.2145309647047381	0.000283714122942	0.0005922981499012	0.0000428257561771	0.0000573183211662	8779.145280527906	4326.042335103329	2712.6478955046055	3742.7991668241493	127977973.63571885	12593.753227789837	2386.5826059848114	1574.767883632898	2387.0826059848114	2521.732116367102	318763377.8886498	17203.361371057723	18286.513846339938	17431.610014199105	47173	18529.133406737892	671.9602636804717	48847	86.87804494959033	70.01931204411375	62.44558396784131	77.59304012038619	274.7284096388056	0.9530078190018071	2445.641235809259	1406.7850862957487	2446.141235809259	2689.7149137042516	92052384.33276911	10283.203129553087	8951.722840932518	46774.5	5350.83710370897	512.9651829776325	46.31585119786326	55.94547332702795	47.88035438599057	64.01059226806532	272.46515398725563	0.919627917777047	3971.3173369714486	1849.1141481220498	3971.8173369714486	2247.3858518779502	13319958.863792617	4719.24911121107	2822.4742008531953	19076	774.2648995446677	370.0123994242703	12.771067592971725	53.413796923862634	42.71520219521654	64.11239165250872	275.85323494590915	0.8452972445081977	3486.2960054645723	3755.8786144190058	3486.7960054645723	340.62138558099423	22605630.43915713	5530.555269152461	4087.4070213606897	43800.5	1314.0240416729282	354.51849760714094	13.194400795600805	50.68719180821128	44.202123429042274	57.17226018738028	271.78446574044665	0.9363679901388547	17203.36137105769	31206	17203.361371057712	42381	17203.361371057672	55791
HD213306-009_r30s_out.fits	9	0	60631.48795138905	2460631.487951389	2460631.487777778	2460631.4902569377	2460631.491037465	1.1504683405818619	60.32263921549278	-19.9375	30	22.486184166666668	58.415194444444445	40.63296038789436	74	129	193	2.54909662718975	2.5738006552523696	0.115510870733576	0.2139817723714034	0.0002944081007232	0.0006097822947203	0.0000439582066115	0.0000585019278003	8658.378016527542	4220.8517327202535	2627.743023151997	3657.6875398350157	125268849.21757093	12557.685376874213	2387.933097256968	1576.8459772099652	2388.433097256968	2519.654022790035	319322401.0324514	17203.361371057734	18315.516898920287	17434.52848176377	47251.5	18561.628401857964	694.4777064874223	49095	87.7056353788302	69.82166348812432	62.605338650429424	77.0379883258192	275.6072297971768	0.9565261766567321	2447.4583520385754	1409.7995191074358	2447.9583520385754	2686.700480892564	90216852.39355533	10222.86391465779	8825.007663870027	46791.5	5244.140981967203	536.9155249690073	46.02914402490272	55.964417935038654	48.230908214553516	63.6979276555238	271.7816012285421	0.9261687337793456	3973.280519577232	1852.178853841042	3973.780519577232	2244.321146158958	12971557.900999244	4750.253377410683	2730.70863181406	17794.5	754.01298741664	395.4293730788477	13.650707404389273	53.56267308751053	43.04971847070696	64.07562770431412	275.485087092272	0.8517579008352357	3488.2852290938745	3758.8573300178596	3488.7852290938745	337.64266998214043	22080438.92301636	5533.860158817392	3990.06087781861	43750.5	1283.4956173253247	378.96768814781433	15.146354743455257	51.1977067010762	44.632109097453785	57.76330430469861	271.4017294006782	0.9361766711982896	17203.36137105773	31459	17203.361371057705	41967	17203.36137105771	55475
HD213306-010_r30s_out.fits	10	0	60631.489178240765	2460631.4891782408	2460631.4890046297	2460631.4914837508	2460631.4922642787	1.1499707478650827	60.36632366454285	-19.96875	30	22.486184166666668	58.415194444444445	35.229809266429314	74	129	193	4.999275049891632	2.633333695658342	0.1075212452186551	0.2167619375776857	0.0011041305469591	0.0015013133557154	0.0001149048417403	0.0001358665197246	4527.79344223404	1754.020028952243	935.7416414326923	1595.403621267739	53069397.497924075	11210.847074634752	2393.6175847267514	1584.1081970887324	2394.1175847267514	2512.3918029112674	265308514.8241532	17203.361371057676	17095.947371046208	15518.795716081882	47312	15421.899773058238	1167.6837039099478	50282	80.28152935009179	65.4711742228684	58.477648985389195	72.46469946034759	277.43009312695574	0.9522421597104872	2450.387459402133	1414.3353786085231	2450.887459402133	2682.164621391477	38463142.76240681	8113.7358578864205	4740.497279686676	37839	2235.7922927269206	1108.4689001871807	20.499563140098335	55.37659205963405	48.300040991651315	62.45314312761678	271.3488943964245	0.9366211450347122	3975.487885520453	1855.6188184611483	3975.987885520453	2240.8811815388517	5152124.8252479695	5403.684143118636	953.446702063255	5894.5	299.483613354522	992.7121021676232	18.88447155569928	54.932939180789646	45.06597323613091	64.79990512544838	276.0761930453565	0.8732737713249681	3490.253809877022	3762.550450747364	3490.753809877022	333.9495492526362	9454129.910269286	5536.296617839662	1707.663184050716	43977.5	549.551317696232	940.2396013708513	21.253673019827847	52.558956292748086	47.088031097088155	58.029881488408016	272.2421819695283	0.9573233188355444	17203.36137105769	39534	17203.36137105772	42166	17203.36137105783	55440
