Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	N_Src_Pixels_C2	N_Sky_Pixels_C2	N_Src_Pixels_C3	N_Sky_Pixels_C3	N_Src_Pixels_C4	N_Sky_Pixels_C4
HD237190-001_r30s_out.fits	1	0	60631.51498842612	2460631.514988426	2460631.514814815	2460631.519366767	2460631.5201382386	1.9545535307063504	30.655170668220865	-19.9375	30	3.906046111111111	58.65333333333333	23.81331934159222	51	89	133	9.264169969059243	1.6331184167067856	0.2258932406492755	0.2430228338767537	0.0382971044214238	0.0155632672477021	0.0029966336366879	0.0030682459712174	241.90262185662175	104.93416264813612	75.3823349920584	79.20578602774958	1187565.4514482021	4886.78770731201	2423.4431369541207	1518.537325661889	2423.9431369541207	2577.962674338111	11001808.191598717	8171.282491987051	4347.695958067075	2530.4916207825095	15375.5	1346.3991977253688	739.0287939357369	26516	23.90744767801895	39.91918161981687	31.283188467799942	48.5551747718338	270.09847563010896	0.8291568257129901	1737.2564613538595	2137.657226868338	1737.7564613538595	1958.842773131662	736554.4206061186	2941.3098618860818	250.4171458269315	3641.5	90.13939015428731	739.0509878419452	24.80556321012278	39.33407174093271	30.384054155175942	48.28408932668947	270.811166027963	0.8126414542130171	2138.2671896062175	3780.6355802564017	2138.7671896062175	315.8644197435983	218830.64480286464	2756.1049096312104	79.39851782788124	1046	26.780452764600234	689.7479594921402	23.31290166677588	37.67721525505827	29.328778321980735	46.02565218813581	273.5199948137747	0.8188430970222236	2725.4562775787326	3714.162297373093	2725.9562775787326	382.3377026269068	232180.38603921887	2762.8384172466886	84.03690371100262	1045	28.414191562572967	691.0388781210809	23.227364811451274	41.43392424976758	33.72063680195992	49.14721169757524	274.15211374212333	0.8677514809273665	8171.282491987059	26320	8171.282491987071	26464	8171.282491987058	26313
HD237190-002_r30s_out.fits	2	0	60631.51547453692	2460631.515474537	2460631.515300926	2460631.519852887	2460631.520624359	1.9494135393868792	30.745554431649722	-19.9375	30	3.906046111111111	58.65333333333333	21.82297620106813	51	89	133	9.314504036892432	1.6661493669517522	0.2226137116807696	0.23914599500047	0.0381694957071914	0.0158795176784194	0.0029574101083547	0.0030259789343959	244.0300523838858	104.92443162905897	75.2731963185922	79.03095169702789	1198822.5398613177	4890.219629099732	2420.304727231341	1518.6393520888753	2420.804727231341	2577.860647911125	11166437.387055881	8171.282491987046	4363.037898681131	2559.326241569274	16665.5	1366.546487409529	736.91834666066	26637	22.205601728967867	39.57658612508804	30.752489738909993	48.4006825112661	271.35784564737395	0.8191330235710322	1733.878716733275	2137.882777846684	1734.378716733275	1958.617222153316	749176.8618204249	2945.1571522057184	254.3758526635305	3721.5	91.6841221136442	740.5121974317209	21.871716293441846	38.77652205538664	29.79827170039872	47.754772410374564	270.538272997979	0.8067589987763405	2134.7691223094143	3780.964608429282	2135.2691223094143	315.5353915707178	218281.81108668726	2756.9454630716095	79.17523723646381	1091.5	26.71328659861405	689.2620025088379	21.085803961184286	36.3089908127133	26.972549322122262	45.64543230330433	271.11673594408023	0.7669537490130173	2722.768812479612	3714.2844046218706	2723.268812479612	382.21559537812936	231363.86695420556	2763.9734230438407	83.70697960598146	1056	28.314266111970305	690.5232918660287	22.128782820678524	40.26635447319095	31.984078266559532	48.54863067982237	273.68935655670305	0.8416179172821792	8171.282491987065	26399	8171.282491987049	26307	8171.282491987063	26125
HD237190-003_r30s_out.fits	3	0	60631.51596064819	2460631.515960648	2460631.515787037	2460631.520339008	2460631.52111048	1.9443036708894037	30.83596492542841	-19.96875	30	3.906046111111111	58.65333333333333	20.963452905112185	51	89	133	9.326402584073552	1.6576328128995708	0.2324045565689968	0.2310670595599463	0.0375640843409688	0.0154951807277684	0.0029448156410176	0.0029441695024587	248.27977968044965	106.97731391599565	78.91990022461476	78.48293359705784	1220116.111162736	4891.6814821355165	2419.3147776172864	1518.3445173676923	2419.8147776172864	2578.1554826323077	11379294.052017916	8171.2824919870545	4390.254962858024	2591.943781918779	17055.5	1392.595845655405	738.9626119010005	26586	21.7031180441432	39.778717888169	30.728573549934232	48.82886222640377	270.50945940835777	0.8127714818094944	1733.0789631329255	2137.4882027786607	1733.5789631329255	1959.0117972213393	761017.2825959912	2943.5337151476783	258.5386668682375	3532.5	93.13315056017974	738.4394990147036	20.638371564498392	39.08119446336109	29.39611826962936	48.76627065709283	89.94243833476509	0.7819469352216915	2134.359619019004	3779.919515067696	2134.859619019004	316.580484932304	230087.22441508528	2760.244855910432	83.35754124218589	1055.5	28.158030840411396	689.6976903466383	20.62333036023372	38.91856535561494	30.435131080508047	47.40199963072183	272.10250584022083	0.8258551367211119	2721.1696947010205	3713.4295942990925	2721.6696947010205	383.0704057009075	229011.60415165965	2764.996442290013	82.82527986256238	1093	28.026396636786547	691.4462585554238	20.88899165157342	39.28163268349245	30.38847945238791	48.17478591459698	274.52491054505043	0.8097797253679817	8171.282491987055	26388	8171.282491987059	26281	8171.282491987085	26153
HD237190-004_r30s_out.fits	4	0	60631.51645833347	2460631.5164583335	2460631.5162847224	2460631.5208367035	2460631.5216081752	1.9391031303426431	30.928555062582443	-19.96875	30	3.906046111111111	58.65333333333333	19.907321428108826	51	89	133	9.297898493467333	1.69840578493766	0.2202495481510627	0.234710713329953	0.0369675675880417	0.0158394188706268	0.0028624354352924	0.0029156246293985	251.51501978926592	107.22652130169024	76.94480910748223	80.50100515798403	1236729.8331635408	4894.249983524267	2417.226570304164	1517.485091907422	2417.726570304164	2579.014908092578	11498988.45259739	8171.282491987056	4404.4753273674605	2610.7510197974693	17350.5	1407.2440236735858	737.7853290797918	26331	20.319277453369665	40.001406378692884	30.878110338145007	49.12470241924076	271.28911109592434	0.8116149607589773	1731.1784014885427	2136.8183102085172	1731.6784014885427	1959.6816897914828	778411.1325192964	2949.588370735556	263.90500459058273	3700.5	95.26180661146202	740.5191347753744	19.324374871700343	39.780093934298336	30.14242360911331	49.417764259483356	89.91555071605327	0.7905244693026373	2132.139556375654	3779.495615699481	2132.639556375654	317.0043843005192	223224.1653782511	2761.1970164164786	80.84325893845657	1080.5	27.31813097847854	690.7168830674333	19.367897177653195	35.94284091261797	25.992258544494987	45.89342328074095	273.77172296381644	0.7308845569215193	2719.6521035259416	3712.997694263866	2720.1521035259416	383.5023057361341	235094.53526599333	2762.137284962786	85.11326954885978	1063	28.770824591676085	692.4924208314573	20.617736209712103	40.65686440343546	32.46568715274252	48.8480416541284	272.15735075584536	0.8492038265318309	8171.282491987056	26444	8171.282491987064	26263	8171.282491987053	26652
HD237190-005_r30s_out.fits	5	0	60631.51694444427	2460631.5169444443	2460631.516770833	2460631.521322824	2460631.522094296	1.9340535924721667	31.01901769677829	-19.9375	30	3.906046111111111	58.65333333333333	19.069785882269564	51	89	133	9.180640115882886	1.6535306362342124	0.228476179481519	0.235899921579713	0.0354666812195071	0.0147965857031335	0.0028066593946842	0.0028382937038695	258.8525286328007	111.75082342705903	81.4050254598934	83.11328783843031	1269507.0486819707	4880.68065945066	2416.4249615478807	1517.069721559146	2416.9249615478807	2579.4302784408537	11654887.338525787	8171.2824919870245	4419.536963134273	2637.1286032327484	18081	1426.3228997351246	735.7699707790975	26351	19.967980389120775	39.82716556062819	30.697241241392938	48.957089879863446	270.93668080184364	0.8100609950753993	1730.2992426672306	2136.157809482163	1730.7992426672306	1960.342190517837	791085.1939097922	2942.826106734215	268.8181921791141	3668.5	96.81285583818048	734.4870213899673	19.067871258192792	39.66069241293691	30.0905542484872	49.23083057738661	270.4670867123339	0.791965891415517	2130.9574569627152	3778.9990509101244	2131.4574569627152	317.5009490898756	236107.24013397843	2750.2128149129385	85.85053449452882	1103	28.894759221151716	686.4642362021807	18.403798406215486	38.11728958058189	29.1548162905825	47.079762870581284	271.47866994159534	0.8008917475809028	2718.870130170991	3712.008879757792	2719.370130170991	384.4911202422081	242314.61463820003	2756.2923788574967	87.91324770075416	1101	29.654416534469327	688.2356174698796	18.83949347554921	40.27491014321657	31.036580946214293	49.51323934021886	271.8050400674906	0.8092945698526621	8171.282491987069	26274	8171.282491987052	26689	8171.2824919870345	26560
HD237190-006_r30s_out.fits	6	0	60631.51744212955	2460631.5174421296	2460631.5172685185	2460631.521820519	2460631.522591991	1.928914375447491	31.111660139923302	-19.96875	30	3.906046111111111	58.65333333333333	17.754055656893833	51	89	133	9.23759765633725	1.6295306272621395	0.2260465039083061	0.2436662487451322	0.0353579139844083	0.014349879120966	0.0027705159549354	0.0028392811526659	261.25969027501844	113.55709783515182	81.59003867334826	85.81969718509418	1280212.1942302752	4876.603710807953	2416.546810184482	1515.7962615097863	2417.046810184482	2580.7037384902137	11826085.16503596	8171.282491987074	4432.371148866066	2668.1170795142975	18951	1447.2740572404466	730.2852097968483	26335	18.77344240520813	40.03131620441798	30.60408532421698	49.458547084618985	271.18754763882936	0.800523075882652	1730.399753764653	2134.913827364645	1730.899753764653	1961.586172635355	793352.60759628	2943.105803082014	269.56306048035475	3709.5	97.09034149465016	732.7993276988091	17.835751404171127	39.53031163061073	29.636208897399545	49.42441436382192	270.16222531151095	0.7780837189005277	2131.250582239085	3777.793695326414	2131.750582239085	318.70630467358615	236033.04592774063	2745.7289058429496	85.9637109204259	1117.5	28.88567934827855	682.5148200022712	17.224602461606292	37.13605280230436	27.628819330235313	46.643286274373416	273.7649003105341	0.7650591706425939	2718.8310054035983	3711.0681419013335	2719.3310054035983	385.43185809866645	250826.54070625454	2753.2462221438436	91.1021101886579	1112	30.69610443063512	684.4614887960502	17.182426356589783	41.234412490224365	33.43928459551219	49.02954038493654	272.43437710342425	0.865776968417149	8171.2824919870645	26030	8171.282491987057	26417	8171.282491987039	26330
HD237190-007_r30s_out.fits	7	0	60631.51792824082	2460631.517928241	2460631.5177546297	2460631.52230664	2460631.523078112	1.9239243057408868	31.20217281016978	-19.96875	30	3.906046111111111	58.65333333333333	18.82924455854935	51	89	133	9.204386095814378	1.6092180251008097	0.2320618796549834	0.2420881067697867	0.0353444699330292	0.0141524257258952	0.0028066669782565	0.0028458182319906	260.4194125206819	113.70616290579582	82.68237074536718	85.06801455146095	1288855.4354411205	4925.402432840496	2415.138532870933	1516.102940425235	2415.638532870933	2580.397059574765	11863123.049489036	8171.2824919870445	4457.462880816105	2661.4070305655687	17959.5	1451.8067465079441	747.7941187630431	26355	19.081845061554716	39.792403747129796	30.69068287815917	48.89412461610042	270.85200905139175	0.8108539365196288	1729.012590865045	2135.2020820667794	1729.512590865045	1961.2979179332206	794893.0976670189	2962.5624940696184	268.31268513599815	3657.5	97.27886637703575	747.0187958607714	19.282846056502873	39.09807157714862	29.331286688324383	48.86485646597286	89.44328172941123	0.7787722917237107	2129.78018928815	3777.6291954394596	2130.28018928815	318.87080456054036	242759.0853113355	2780.3241694548196	87.31323058596328	1085	29.70881077106207	699.4980664240219	17.564715548699077	38.32992679371455	29.311190863749665	47.348662723679425	272.10071037910996	0.8001015592215108	2716.956377381796	3711.4278385714683	2717.456377381796	385.0721614285317	251203.25246276613	2784.3509309906394	90.21968088390028	1081.5	30.742206343875846	700.9534659090909	19.387571567440734	41.69246099965842	33.89403963914957	49.49088236016728	276.48669647371145	0.8624222474975212	8171.282491987039	26575	8171.282491987041	26376	8171.282491987057	26400
HD237190-008_r30s_out.fits	8	0	60631.5184259261	2460631.518425926	2460631.518252315	2460631.522804335	2460631.5235758075	1.918845547268081	31.294865221805615	-19.9375	30	3.906046111111111	58.65333333333333	18.723053209932914	51	89	133	9.341144029819752	1.693106970443202	0.2178891529149356	0.2382538073086369	0.0364854449252524	0.0154994188166854	0.0028039294235777	0.0028825807163839	256.02384865956634	109.23680368069948	77.7085011779353	82.65295259711424	1276167.0317945946	4961.493774305694	2414.742635524404	1515.2930885830608	2415.242635524404	2581.206911416939	11920860.05010087	8171.282491987026	4474.485449136137	2664.1856780207795	17467.5	1458.8725896810909	757.1869256079574	26441	18.99432667397207	40.193646294233886	30.91263362033012	49.47465896813765	270.5915517627039	0.8076899954971138	1728.5880679123898	2134.4346903634096	1729.0880679123898	1962.0653096365904	802302.8125858875	2984.1328506750374	268.8562650300235	3659.5	98.18566588202579	758.6732892661308	19.0317894239859	39.601657020930276	30.062926394505297	49.140387647355254	270.7776952756291	0.792532854774133	2129.371266632566	3777.292541286706	2129.871266632566	319.2074587132938	228315.4857485732	2799.244397824653	81.56325540063655	1107.5	27.941205798779364	710.3407933733566	17.559065164185036	36.61246214440967	25.825471345151644	47.39945294366769	274.1321770080462	0.6998302638038998	2716.922052798304	3710.596423423681	2717.422052798304	385.9035765763192	245548.7334601339	2806.3503707205796	87.49753274644925	1099.5	30.05020738187967	712.1944211888272	19.307031577588646	40.41408226127898	32.090630649956914	48.73753387260104	275.46877619769145	0.8380273316085608	8171.28249198705	26626	8171.282491987063	26318	8171.282491987068	26278
HD237190-009_r30s_out.fits	9	0	60631.5189120369	2460631.518912037	2460631.518738426	2460631.523290456	2460631.5240619276	1.9139141182236628	31.385425465986085	-19.96875	30	3.906046111111111	58.65333333333333	17.49056788888205	51	89	133	9.202950866022489	1.6316652476730589	0.2323022075280028	0.2368228788198619	0.0351937922739083	0.014378881711704	0.0027961355928211	0.0028154687233881	261.4935837092302	113.4765053630654	83.07973623468801	84.11490308969785	1307221.1938839415	4975.1209884812	2413.141518857691	1515.084279950389	2413.641518857691	2581.415720049611	12030292.418337172	8171.2824919870345	4496.626503170332	2675.403974480703	17483.5	1472.2649021294246	762.5284527837589	26008	18.048571659314362	40.153839634812755	31.023435606035417	49.2842436635901	271.5330697694982	0.8124820182183708	1726.921439764504	2134.2271181426167	1727.421439764504	1962.2728818573833	810493.4299558364	2992.2557198406994	270.86369142239795	1912	99.1880320807199	760.7178043230945	18.078292455827025	39.504251101061854	30.07321567786936	48.93528652425435	272.04065681615066	0.7949067719158716	2127.905806404333	3777.1952748227854	2128.405806404333	319.30472517721455	246425.24148016702	2808.5354200120646	87.74154661688705	1115	30.15747426696089	713.5344401808442	16.550217642577927	38.81032617652451	29.110215211725002	48.51043714132402	274.20342511815375	0.7738114768516703	2715.590189613254	3710.441699512061	2716.090189613254	386.05830048793905	250302.5224479381	2812.536817829133	88.99528740787652	1098	30.631975175670505	716.0172107273896	17.285189797808886	40.79309395451997	32.06172029183808	49.52446761720186	274.7624761526541	0.8277332333642105	8171.28249198705	26370	8171.282491987034	26321	8171.282491987043	26437
HD237190-010_r30s_out.fits	10	0	60631.51939814817	2460631.519398148	2460631.519224537	2460631.523776577	2460631.5245480486	1.90901135324758	31.47600849860364	-19.9375	30	3.906046111111111	58.65333333333333	18.440260256665105	51	89	133	9.21606378887491	1.6448744213739823	0.2240706854276495	0.2422916892095294	0.0346243889721612	0.0142850056444327	0.0027156663649277	0.0027841121342499	266.1726044114409	115.1469213465126	82.51038799223565	87.02655551436978	1320973.9771395866	4938.864280398427	2412.593632960281	1514.3602146634357	2413.093632960281	2582.1397853365643	12174180.436762217	8171.282491987055	4491.093140078394	2710.7388016784066	17825	1489.8738905062326	748.2956307391239	26572	18.320964507576715	40.357711011007694	31.12315095746228	49.59227106455312	271.2234778671757	0.8105454356512158	1726.4637521515606	2133.4230100169693	1726.9637521515606	1963.0769899830307	821527.2107961942	2974.8095518187793	276.1612790620219	1904.5	100.53834408513043	749.9943886255924	18.49725698430067	39.69126211366476	30.020561425413394	49.36196280191613	271.39964639992314	0.7879040471071197	2127.555203031282	3776.5066696459376	2128.055203031282	319.99333035406244	241809.1928950539	2784.4764725563273	86.84188761453517	1112.5	29.592563117500564	701.2790472207437	18.279201215885244	38.91280030675815	29.8944773915111	47.9311232220052	270.4290617026049	0.8064555883124793	2714.7967252883436	3709.4671329932066	2715.2967252883436	387.03286700679337	257637.57344833855	2790.981777866615	92.31073290821442	1072.5	31.529637324493955	703.718809217009	18.663618318897804	41.46815120177186	32.530752474112894	50.405549929430826	274.26761133856996	0.8265042812309505	8171.282491987031	26375	8171.282491987044	26302	8171.28249198704	26386
