#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T01:07:20 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T01:07:20	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=6.5
#-out=iso
#iso=iso
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
logAge	iso	Zini	logL	logTe
[yr]	 	 	[Lsun]	[K]
----	---	-----	-------	-----
 6.5	iso	0.014	 -0.591	3.688
 6.5	iso	0.014	 -0.582	3.690
 6.5	iso	0.014	 -0.572	3.691
 6.5	iso	0.014	 -0.563	3.692
 6.5	iso	0.014	 -0.554	3.694
 6.5	iso	0.014	 -0.545	3.695
 6.5	iso	0.014	 -0.536	3.697
 6.5	iso	0.014	 -0.527	3.698
 6.5	iso	0.014	 -0.518	3.699
 6.5	iso	0.014	 -0.509	3.701
 6.5	iso	0.014	 -0.500	3.702
 6.5	iso	0.014	 -0.491	3.704
 6.5	iso	0.014	 -0.482	3.705
 6.5	iso	0.014	 -0.474	3.706
 6.5	iso	0.014	 -0.465	3.708
 6.5	iso	0.014	 -0.456	3.709
 6.5	iso	0.014	 -0.448	3.710
 6.5	iso	0.014	 -0.439	3.712
 6.5	iso	0.014	 -0.430	3.713
 6.5	iso	0.014	 -0.422	3.714
 6.5	iso	0.014	 -0.413	3.716
 6.5	iso	0.014	 -0.405	3.717
 6.5	iso	0.014	 -0.396	3.718
 6.5	iso	0.014	 -0.388	3.719
 6.5	iso	0.014	 -0.380	3.721
 6.5	iso	0.014	 -0.371	3.722
 6.5	iso	0.014	 -0.363	3.723
 6.5	iso	0.014	 -0.355	3.724
 6.5	iso	0.014	 -0.346	3.726
 6.5	iso	0.014	 -0.338	3.727
 6.5	iso	0.014	 -0.329	3.728
 6.5	iso	0.014	 -0.321	3.729
 6.5	iso	0.014	 -0.312	3.730
 6.5	iso	0.014	 -0.304	3.732
 6.5	iso	0.014	 -0.296	3.733
 6.5	iso	0.014	 -0.287	3.734
 6.5	iso	0.014	 -0.279	3.735
 6.5	iso	0.014	 -0.271	3.736
 6.5	iso	0.014	 -0.263	3.737
 6.5	iso	0.014	 -0.254	3.738
 6.5	iso	0.014	 -0.246	3.739
 6.5	iso	0.014	 -0.230	3.742
 6.5	iso	0.014	 -0.214	3.744
 6.5	iso	0.014	 -0.198	3.746
 6.5	iso	0.014	 -0.182	3.748
 6.5	iso	0.014	 -0.167	3.750
 6.5	iso	0.014	 -0.151	3.752
 6.5	iso	0.014	 -0.136	3.755
 6.5	iso	0.014	 -0.120	3.757
 6.5	iso	0.014	 -0.104	3.758
 6.5	iso	0.014	 -0.089	3.760
 6.5	iso	0.014	 -0.074	3.762
 6.5	iso	0.014	 -0.058	3.764
 6.5	iso	0.014	 -0.043	3.766
 6.5	iso	0.014	 -0.028	3.768
 6.5	iso	0.014	 -0.013	3.770
 6.5	iso	0.014	  0.002	3.772
 6.5	iso	0.014	  0.016	3.773
 6.5	iso	0.014	  0.031	3.775
 6.5	iso	0.014	  0.045	3.777
 6.5	iso	0.014	  0.060	3.779
 6.5	iso	0.014	  0.073	3.780
 6.5	iso	0.014	  0.097	3.783
 6.5	iso	0.014	  0.121	3.785
 6.5	iso	0.014	  0.144	3.788
 6.5	iso	0.014	  0.168	3.790
 6.5	iso	0.014	  0.191	3.793
 6.5	iso	0.014	  0.213	3.795
 6.5	iso	0.014	  0.236	3.798
 6.5	iso	0.014	  0.258	3.800
 6.5	iso	0.014	  0.280	3.802
 6.5	iso	0.014	  0.303	3.805
