#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-14T21:37:39 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-14T21:37:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/537/A146/iso&-order=I&-out=logAge&logAge=7.5&-out=iso&iso=iso&-out=Rot&Rot=r&-out=Mini&-out=Zini&Zini=0.014&-out=Mass&-out=logL&-out=logTe&-out=Mbol&-out=Vmag&-out=U-B&-out=B-V&-out=logg&-out=Veq&-out=OOc&-out=logdM/dtm&-out=He4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	    IVOID of underlying data collection
#INFO	creator=Ekstrom S.	    First author or institution
#INFO	cites=bibcode:2012A&A...537A.146E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35370146	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mini	(F7.3)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Mbol	(F7.3)	Bolometric magnitude	[ucd=phys.magAbs.bol]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-B	(F6.3)	U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	logg	(F6.3)	Polar effective surface gravity in log scale	[ucd=instr.scale]
#Column	Veq	(F9.2)	Equatorial velocity	[ucd=phys.veloc;pos.eq]
#Column	OOc	(F7.4)	Actual {Omega}_surf_/{Omega}_crit_	[ucd=stat.fit.param]
#Column	logdM/dtm	(F8.3)	Mechanical mass loss in log scale	[ucd=phys.mass.loss]
#Column	He4	(E9.2)	4He surface abundance (mass fraction)	[ucd=phys.abund]
logAge	iso	Rot	Mini	Zini	Mass	logL	logTe	Mbol	Vmag	U-B	B-V	logg	Veq	OOc	logdM/dtm	He4
[yr]	 	 	Msun	 	Msun	[Lsun]	[K]	mag	mag	mag	mag	[cm/s2]	km/s	 	[Msun/yr]	
----	---	-	-------	-----	-------	-------	-----	-------	-------	------	------	------	---------	-------	--------	---------
 7.5	iso	r	  0.800	0.014	  0.800	 -0.591	3.688	  6.228	  6.615	 0.489	 0.954	 4.638	     7.87	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.804	0.014	  0.804	 -0.582	3.690	  6.205	  6.587	 0.482	 0.946	 4.637	     8.37	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.807	0.014	  0.807	 -0.573	3.691	  6.182	  6.559	 0.474	 0.939	 4.635	     8.87	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.811	0.014	  0.811	 -0.563	3.693	  6.158	  6.530	 0.467	 0.932	 4.633	     9.37	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.815	0.014	  0.815	 -0.554	3.694	  6.135	  6.502	 0.460	 0.925	 4.632	     9.86	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.819	0.014	  0.819	 -0.545	3.695	  6.112	  6.474	 0.453	 0.918	 4.630	    10.36	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.822	0.014	  0.822	 -0.536	3.697	  6.089	  6.447	 0.446	 0.911	 4.629	    10.85	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.826	0.014	  0.826	 -0.526	3.698	  6.066	  6.419	 0.439	 0.904	 4.627	    11.34	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.830	0.014	  0.830	 -0.517	3.700	  6.043	  6.391	 0.432	 0.897	 4.626	    11.82	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.834	0.014	  0.834	 -0.508	3.701	  6.020	  6.364	 0.425	 0.890	 4.624	    12.31	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.837	0.014	  0.837	 -0.499	3.702	  5.998	  6.337	 0.418	 0.884	 4.622	    12.79	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.841	0.014	  0.841	 -0.490	3.704	  5.975	  6.309	 0.411	 0.877	 4.621	    13.27	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.845	0.014	  0.845	 -0.481	3.705	  5.953	  6.282	 0.404	 0.871	 4.619	    13.75	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.848	0.014	  0.848	 -0.472	3.706	  5.931	  6.255	 0.398	 0.864	 4.618	    14.22	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.852	0.014	  0.852	 -0.463	3.708	  5.909	  6.228	 0.391	 0.858	 4.616	    14.70	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.856	0.014	  0.856	 -0.455	3.709	  5.886	  6.202	 0.384	 0.851	 4.615	    15.17	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.860	0.014	  0.860	 -0.446	3.711	  5.864	  6.175	 0.377	 0.845	 4.613	    15.64	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.863	0.014	  0.863	 -0.437	3.712	  5.843	  6.149	 0.370	 0.838	 4.612	    16.10	 0.0000	   0.000	 2.66e-01
 7.5	iso	r	  0.867	0.014	  0.867	 -0.428	3.713	  5.821	  6.122	 0.364	 0.832	 4.610	    16.57	 0.0000	   0.000	 2.66e-01
