#\*l [Å]	Flux [mW/m^2/Å]
   3200  1.88334e-12
   3201  1.88334e-12
   3202  1.45960e-12
   3203  9.95082e-13
   3204  1.01745e-12
   3205  1.06460e-12
   3206  1.58284e-12
   3207  1.49914e-12
   3208  1.35701e-12
   3209  1.11877e-12
   3210  1.00060e-12
   3211  1.07097e-12
   3212  1.14544e-12
   3213  1.34586e-12
   3214  1.31604e-12
   3215  1.29281e-12
   3216  1.48902e-12
   3217  1.49480e-12
   3218  1.35550e-12
   3219  1.29617e-12
   3220  1.22537e-12
   3221  1.39193e-12
   3222  1.42466e-12
   3223  1.02812e-12
   3224  1.03379e-12
   3225  1.04432e-12
   3226  1.01086e-12
   3227  9.92641e-13
   3228  8.95165e-13
   3229  1.00359e-12
   3230  1.35861e-12
   3231  1.32407e-12
   3232  1.29476e-12
   3233  1.27273e-12
   3234  1.24785e-12
   3235  1.11770e-12
   3236  1.13845e-12
   3237  1.16541e-12
   3238  1.58604e-12
   3239  1.74035e-12
   3240  1.76641e-12
   3241  1.59900e-12
   3242  1.25697e-12
   3243  1.09172e-12
   3244  9.93184e-13
   3245  1.13345e-12
   3246  1.17069e-12
   3247  1.26087e-12
   3248  1.34920e-12
   3249  1.43073e-12
   3250  1.49489e-12
   3251  1.52053e-12
   3252  1.60725e-12
   3253  1.75779e-12
   3254  1.97112e-12
   3255  1.87970e-12
   3256  1.84374e-12
   3257  1.95519e-12
   3258  2.01850e-12
   3259  2.16118e-12
   3260  2.12345e-12
   3261  2.09884e-12
   3262  1.99503e-12
   3263  1.92841e-12
   3264  1.70799e-12
   3265  1.69835e-12
   3266  1.68866e-12
   3267  1.78451e-12
   3268  1.80293e-12
   3269  1.74549e-12
   3270  1.71288e-12
   3271  1.66241e-12
   3272  1.71599e-12
   3273  1.74001e-12
   3274  1.98865e-12
   3275  1.97912e-12
   3276  1.94801e-12
   3277  1.86796e-12
   3278  1.81098e-12
   3279  1.65307e-12
   3280  1.64042e-12
   3281  1.67891e-12
   3282  1.71600e-12
   3283  1.75650e-12
   3284  1.56794e-12
   3285  1.51019e-12
   3286  1.46893e-12
   3287  1.62724e-12
   3288  1.89496e-12
   3289  2.00030e-12
   3290  2.05232e-12
   3291  2.08676e-12
   3292  2.11318e-12
   3293  2.18319e-12
   3294  2.23579e-12
   3295  2.27660e-12
   3296  2.38074e-12
   3297  2.43107e-12
   3298  2.60850e-12
   3299  2.64284e-12
   3300  2.68369e-12
   3301  2.21453e-12
   3302  2.04770e-12
   3303  1.79006e-12
   3304  1.74457e-12
   3305  1.66031e-12
   3306  1.75683e-12
   3307  1.80916e-12
   3308  1.98983e-12
   3309  1.99283e-12
   3310  1.97038e-12
   3311  1.84129e-12
   3312  1.73220e-12
   3313  1.53470e-12
   3314  1.52890e-12
   3315  1.72810e-12
   3316  1.83665e-12
   3317  1.97719e-12
   3318  1.98444e-12
   3319  1.98297e-12
   3320  1.85691e-12
   3321  1.79296e-12
   3322  1.66284e-12
   3323  1.84360e-12
   3324  1.95093e-12
   3325  2.04718e-12
   3326  2.00349e-12
   3327  1.82431e-12
   3328  1.82662e-12
   3329  1.82875e-12
   3330  1.94456e-12
   3331  1.96954e-12
   3332  1.96464e-12
   3333  1.87629e-12
   3334  1.75152e-12
   3335  1.58748e-12
   3336  1.52372e-12
   3337  1.75456e-12
   3338  1.83003e-12
   3339  1.99932e-12
   3340  1.95888e-12
   3341  1.93262e-12
   3342  2.05328e-12
   3343  2.07932e-12
   3344  2.13160e-12
   3345  2.14073e-12
   3346  2.14986e-12
   3347  1.89393e-12
   3348  1.83174e-12
   3349  1.85683e-12
   3350  1.99606e-12
   3351  2.21061e-12
   3352  2.22055e-12
   3353  2.22499e-12
   3354  2.21710e-12
   3355  2.20188e-12
   3356  2.16436e-12
   3357  1.75863e-12
   3358  1.47105e-12
   3359  9.74106e-13
   3360  9.68133e-13
   3361  1.23905e-12
   3362  1.54818e-12
   3363  1.88457e-12
   3364  1.86251e-12
   3365  1.82477e-12
   3366  1.43578e-12
   3367  1.34982e-12
   3368  1.20504e-12
   3369  1.17517e-12
   3370  1.16049e-12
   3371  1.28797e-12
   3372  1.38103e-12
   3373  1.62614e-12
   3374  1.88388e-12
   3375  2.08307e-12
   3376  2.07643e-12
   3377  1.99362e-12
   3378  1.56419e-12
   3379  1.50132e-12
   3380  1.42685e-12
   3381  1.63700e-12
   3382  1.71957e-12
   3383  1.97698e-12
   3384  2.03538e-12
   3385  2.14309e-12
   3386  2.08435e-12
   3387  2.05264e-12
   3388  2.10228e-12
   3389  2.03789e-12
   3390  1.83109e-12
   3391  1.64512e-12
   3392  1.48859e-12
   3393  1.70179e-12
   3394  1.77373e-12
   3395  1.96952e-12
   3396  2.05847e-12
   3397  2.17319e-12
   3398  2.48309e-12
   3399  2.58951e-12
   3400  2.42454e-12
   3401  2.32643e-12
   3402  2.12754e-12
   3403  2.00708e-12
   3404  1.93581e-12
   3405  1.83683e-12
   3406  1.79532e-12
   3407  1.67891e-12
   3408  1.78233e-12
   3409  1.87704e-12
   3410  1.92395e-12
   3411  1.87681e-12
   3412  1.44606e-12
   3413  1.38636e-12
   3414  1.30240e-12
   3415  1.53205e-12
   3416  1.62879e-12
   3417  2.01735e-12
   3418  2.10741e-12
   3419  2.30848e-12
   3420  2.18866e-12
   3421  2.11113e-12
   3422  1.72809e-12
   3423  1.71316e-12
   3424  1.81234e-12
   3425  1.83970e-12
   3426  1.86694e-12
   3427  2.03822e-12
   3428  2.11412e-12
   3429  2.42030e-12
   3430  2.24760e-12
   3431  1.98255e-12
   3432  1.85382e-12
   3433  1.79662e-12
   3434  2.00994e-12
   3435  1.95578e-12
   3436  1.81685e-12
   3437  1.59720e-12
   3438  1.44214e-12
   3439  1.05061e-12
   3440  9.81201e-13
   3441  9.00032e-13
   3442  1.00625e-12
   3443  1.12145e-12
   3444  1.23234e-12
   3445  1.27819e-12
   3446  1.45090e-12
   3447  1.58695e-12
   3448  1.81512e-12
   3449  1.98173e-12
   3450  2.06327e-12
   3451  1.73562e-12
   3452  1.77420e-12
   3453  1.90862e-12
   3454  2.00227e-12
   3455  2.07438e-12
   3456  1.76059e-12
   3457  1.66172e-12
   3458  1.40624e-12
   3459  1.34564e-12
   3460  1.27414e-12
   3461  1.49499e-12
   3462  1.58086e-12
   3463  1.83819e-12
   3464  1.76061e-12
   3465  1.61809e-12
   3466  1.72444e-12
   3467  1.78161e-12
   3468  2.10786e-12
   3469  2.10305e-12
   3470  2.03375e-12
   3471  1.84338e-12
   3472  1.68376e-12
   3473  1.36441e-12
   3474  1.28365e-12
   3475  1.15587e-12
   3476  1.37481e-12
   3477  1.65615e-12
   3478  1.90261e-12
   3479  1.98651e-12
   3480  1.85115e-12
   3481  1.76562e-12
   3482  1.59299e-12
   3483  1.54186e-12
   3484  1.51172e-12
   3485  1.91069e-12
   3486  1.93670e-12
   3487  1.91812e-12
   3488  1.62352e-12
   3489  1.35477e-12
   3490  1.29480e-12
   3491  1.31667e-12
   3492  1.57633e-12
   3493  1.67538e-12
   3494  1.81415e-12
   3495  1.61962e-12
   3496  1.54472e-12
   3497  1.77365e-12
   3498  1.94540e-12
   3499  2.32716e-12
   3500  2.31054e-12
   3501  2.29982e-12
   3502  2.50991e-12
   3503  2.49225e-12
   3504  2.33815e-12
   3505  2.29149e-12
   3506  2.24517e-12
   3507  2.15738e-12
   3508  2.11214e-12
   3509  1.89712e-12
   3510  1.83623e-12
   3511  1.74317e-12
   3512  1.53468e-12
   3513  1.44247e-12
   3514  1.60224e-12
   3515  1.80511e-12
   3516  2.30058e-12
   3517  2.37917e-12
   3518  2.43446e-12
   3519  1.97593e-12
   3520  1.85093e-12
   3521  1.55857e-12
   3522  1.42725e-12
   3523  1.28540e-12
   3524  1.16818e-12
   3525  1.16994e-12
   3526  1.59278e-12
   3527  1.77432e-12
   3528  2.07753e-12
   3529  2.05145e-12
   3530  2.03875e-12
   3531  1.85794e-12
   3532  1.92760e-12
   3533  2.13299e-12
   3534  2.17545e-12
   3535  2.20803e-12
   3536  2.14834e-12
