   Wave (A)    Irradiance(ergs_s^-1_cm^-2_A^-1)
   1195.000    8.8615E-03
   1205.000    6.9450E-02
   1215.000    6.0810E-01
   1225.000    1.4370E-01
   1235.000    6.2695E-03
   1245.000    4.0755E-03
   1255.000    3.3780E-03
   1265.000    4.1625E-03
   1275.000    2.4150E-03
   1285.000    1.9545E-03
   1295.000    4.6680E-03
   1305.000    1.3810E-02
   1315.000    4.4810E-03
   1325.000    4.6495E-03
   1335.000    1.9305E-02
   1345.000    5.0630E-03
   1355.000    4.1965E-03
   1365.000    3.4325E-03
   1375.000    3.2260E-03
   1385.000    4.4945E-03
   1395.000    8.8990E-03
   1405.000    6.8195E-03
   1415.000    4.6125E-03
   1425.000    5.1210E-03
   1435.000    5.5790E-03
   1445.000    5.5705E-03
   1455.000    6.0395E-03
   1465.000    7.6935E-03
   1475.000    9.1945E-03
   1485.000    8.8510E-03
   1495.000    8.6170E-03
   1505.000    9.3970E-03
   1515.000    1.0007E-02
   1525.000    1.2685E-02
   1535.000    1.4125E-02
   1545.000    2.2625E-02
   1555.000    2.3435E-02
   1565.000    1.9820E-02
   1575.000    1.8435E-02
   1585.000    1.7945E-02
   1595.000    1.8710E-02
   1605.000    2.0700E-02
   1615.000    2.3815E-02
   1625.000    2.7030E-02
   1635.000    3.0875E-02
   1645.000    3.2145E-02
   1655.000    4.6160E-02
   1665.000    4.2740E-02
   1675.000    4.1415E-02
   1685.000    4.8405E-02
   1695.000    6.2390E-02
   1705.000    7.0175E-02
   1715.000    7.3305E-02
   1725.000    7.7200E-02
   1735.000    8.1255E-02
   1745.000    9.6355E-02
   1755.000    1.1470E-01
   1765.000    1.2990E-01
   1775.000    1.4970E-01
   1785.000    1.6460E-01
   1795.000    1.6850E-01
   1805.000    1.9605E-01
   1815.000    2.3990E-01
   1825.000    2.3965E-01
   1835.000    2.3920E-01
   1845.000    2.1935E-01
   1855.000    2.4535E-01
   1865.000    2.8700E-01
   1875.000    3.1980E-01
   1885.000    3.4945E-01
   1895.000    3.7935E-01
   1905.000    3.9925E-01
   1915.000    4.4220E-01
   1925.000    4.3775E-01
   1935.000    4.0320E-01
   1945.000    5.5310E-01
   1955.000    5.7685E-01
   1965.000    6.3705E-01
   1975.000    6.5715E-01
   1985.000    6.5555E-01
   1995.000    7.0520E-01
   2005.000    7.7565E-01
   2015.000    8.4975E-01
   2025.000    8.7310E-01
   2035.000    9.7430E-01
   2045.000    1.0835E+00
   2055.000    1.1160E+00
   2065.000    1.1720E+00
   2075.000    1.3410E+00
   2085.000    1.5850E+00
   2095.000    2.2330E+00
   2105.000    2.9165E+00
   2115.000    3.5010E+00
   2125.000    3.2705E+00
   2135.000    3.4465E+00
   2145.000    4.1725E+00
   2155.000    3.7715E+00
   2165.000    3.3635E+00
   2175.000    3.6665E+00
   2185.000    4.6215E+00
   2195.000    4.8890E+00
   2205.000    4.9330E+00
   2215.000    4.1195E+00
   2225.000    5.1570E+00
   2235.000    6.5405E+00
   2245.000    6.1255E+00
   2255.000    5.4450E+00
   2265.000    4.1100E+00
   2275.000    4.1340E+00
   2285.000    5.3965E+00
   2295.000    4.9550E+00
   2305.000    5.4160E+00
   2315.000    5.2955E+00
   2325.000    5.5275E+00
   2335.000    4.6635E+00
   2345.000    4.0555E+00
   2355.000    5.3350E+00
   2365.000    5.0550E+00
   2375.000    5.0410E+00
   2385.000    4.3610E+00
   2395.000    4.5940E+00
   2405.000    4.1095E+00
   2415.000    5.3265E+00
   2425.000    7.3245E+00
   2435.000    6.9055E+00
   2445.000    6.3400E+00
   2455.000    5.1465E+00
   2465.000    5.2450E+00
   2475.000    5.7705E+00
   2485.000    4.7485E+00
   2495.000    5.8590E+00
   2505.000    6.2665E+00
   2515.000    4.8065E+00
   2525.000    4.3185E+00
   2535.000    5.3615E+00
   2545.000    6.1960E+00
