#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:52:29 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:52:29	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=32
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
Msun	 	[Lsun]	[K]
------	------	-------	-----
 32.00	 0.014	  5.125	4.623
 32.00	 0.014	  5.129	4.619
 32.00	 0.014	  5.133	4.617
 32.00	 0.014	  5.137	4.615
 32.00	 0.014	  5.141	4.614
 32.00	 0.014	  5.145	4.613
 32.00	 0.014	  5.149	4.612
 32.00	 0.014	  5.153	4.611
 32.00	 0.014	  5.157	4.610
 32.00	 0.014	  5.161	4.609
 32.00	 0.014	  5.165	4.608
 32.00	 0.014	  5.169	4.607
 32.00	 0.014	  5.173	4.606
 32.00	 0.014	  5.177	4.606
 32.00	 0.014	  5.181	4.605
 32.00	 0.014	  5.185	4.604
 32.00	 0.014	  5.189	4.603
 32.00	 0.014	  5.192	4.602
 32.00	 0.014	  5.196	4.601
 32.00	 0.014	  5.200	4.600
 32.00	 0.014	  5.204	4.599
 32.00	 0.014	  5.208	4.598
 32.00	 0.014	  5.211	4.596
 32.00	 0.014	  5.215	4.595
 32.00	 0.014	  5.219	4.594
 32.00	 0.014	  5.222	4.593
 32.00	 0.014	  5.226	4.592
 32.00	 0.014	  5.230	4.590
 32.00	 0.014	  5.233	4.589
 32.00	 0.014	  5.237	4.588
 32.00	 0.014	  5.241	4.586
 32.00	 0.014	  5.244	4.585
 32.00	 0.014	  5.248	4.583
 32.00	 0.014	  5.251	4.582
 32.00	 0.014	  5.255	4.580
 32.00	 0.014	  5.258	4.579
 32.00	 0.014	  5.262	4.577
 32.00	 0.014	  5.265	4.575
 32.00	 0.014	  5.269	4.573
 32.00	 0.014	  5.272	4.572
 32.00	 0.014	  5.276	4.570
 32.00	 0.014	  5.279	4.568
 32.00	 0.014	  5.282	4.566
 32.00	 0.014	  5.286	4.564
 32.00	 0.014	  5.289	4.562
 32.00	 0.014	  5.293	4.560
 32.00	 0.014	  5.296	4.558
 32.00	 0.014	  5.299	4.555
 32.00	 0.014	  5.303	4.553
 32.00	 0.014	  5.306	4.551
 32.00	 0.014	  5.309	4.548
 32.00	 0.014	  5.313	4.546
 32.00	 0.014	  5.316	4.543
 32.00	 0.014	  5.319	4.540
 32.00	 0.014	  5.322	4.538
 32.00	 0.014	  5.326	4.535
 32.00	 0.014	  5.329	4.532
