#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-02-04T23:59:40 [V7.32.7]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2024-02-04T23:59:40	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=50
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+A/537/A146/iso
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&&-ref=VIZ65c0245d19604d&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=logAge&logAge=6.5&-out=iso&-ignore=iso=*&iso=iso&Rot=r&-out=Zini&Zini=0.014&-out=Vmag&-out=B-V&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/537/A146/iso
#-source=J/A+A/537/A146/iso
#-out=logAge
#logAge=6.5
#-out=iso
#Rot=r
#-out=Zini
#Zini=0.014
#-out=Vmag
#-out=B-V
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.7	
#INFO	-out.max=50	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
logAge	iso	Zini	Vmag	B-V
[yr]	 	 	mag	mag
----	---	-----	-------	------
 6.5	iso	0.014	  6.615	 0.954
 6.5	iso	0.014	  6.587	 0.946
 6.5	iso	0.014	  6.559	 0.939
 6.5	iso	0.014	  6.530	 0.932
 6.5	iso	0.014	  6.502	 0.925
 6.5	iso	0.014	  6.474	 0.918
 6.5	iso	0.014	  6.447	 0.911
 6.5	iso	0.014	  6.419	 0.904
 6.5	iso	0.014	  6.391	 0.897
 6.5	iso	0.014	  6.364	 0.890
 6.5	iso	0.014	  6.337	 0.884
 6.5	iso	0.014	  6.309	 0.877
 6.5	iso	0.014	  6.282	 0.871
 6.5	iso	0.014	  6.255	 0.864
 6.5	iso	0.014	  6.228	 0.858
 6.5	iso	0.014	  6.202	 0.851
 6.5	iso	0.014	  6.175	 0.845
 6.5	iso	0.014	  6.149	 0.838
 6.5	iso	0.014	  6.122	 0.832
 6.5	iso	0.014	  6.096	 0.826
 6.5	iso	0.014	  6.070	 0.820
 6.5	iso	0.014	  6.044	 0.813
 6.5	iso	0.014	  6.018	 0.807
 6.5	iso	0.014	  5.992	 0.801
 6.5	iso	0.014	  5.966	 0.794
 6.5	iso	0.014	  5.941	 0.788
 6.5	iso	0.014	  5.915	 0.781
 6.5	iso	0.014	  5.890	 0.775
 6.5	iso	0.014	  5.865	 0.769
 6.5	iso	0.014	  5.840	 0.764
 6.5	iso	0.014	  5.815	 0.758
 6.5	iso	0.014	  5.791	 0.752
 6.5	iso	0.014	  5.766	 0.746
 6.5	iso	0.014	  5.742	 0.741
 6.5	iso	0.014	  5.717	 0.735
 6.5	iso	0.014	  5.693	 0.730
 6.5	iso	0.014	  5.669	 0.724
 6.5	iso	0.014	  5.645	 0.718
 6.5	iso	0.014	  5.621	 0.713
 6.5	iso	0.014	  5.597	 0.707
 6.5	iso	0.014	  5.573	 0.702
 6.5	iso	0.014	  5.526	 0.693
 6.5	iso	0.014	  5.479	 0.684
 6.5	iso	0.014	  5.432	 0.676
 6.5	iso	0.014	  5.386	 0.667
 6.5	iso	0.014	  5.340	 0.659
 6.5	iso	0.014	  5.295	 0.651
 6.5	iso	0.014	  5.249	 0.642
 6.5	iso	0.014	  5.204	 0.635
 6.5	iso	0.014	  5.160	 0.628

