#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-02-05T03:27:01 [V7.32.7]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2024-02-05T03:27:01	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=9.5
#-out=iso
#iso=iso
#-out=Rot
#Rot=r
#Zini=0.014
#-out=Mass
#-out=logL
#-out=logTe
#-out=Vmag
#-out=B-V
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.7	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
logAge	iso	Rot	Mass	logL	logTe	Vmag	B-V
[yr]	 	 	Msun	[Lsun]	[K]	mag	mag
----	---	-	-------	-------	-----	-------	------
 9.5	iso	r	  0.800	 -0.569	3.688	  6.561	 0.957
 9.5	iso	r	  0.804	 -0.558	3.689	  6.530	 0.949
 9.5	iso	r	  0.807	 -0.548	3.691	  6.499	 0.941
 9.5	iso	r	  0.811	 -0.538	3.692	  6.468	 0.934
 9.5	iso	r	  0.815	 -0.528	3.694	  6.438	 0.926
 9.5	iso	r	  0.819	 -0.518	3.695	  6.408	 0.918
 9.5	iso	r	  0.822	 -0.508	3.697	  6.377	 0.911
 9.5	iso	r	  0.826	 -0.498	3.698	  6.347	 0.903
 9.5	iso	r	  0.830	 -0.488	3.700	  6.317	 0.896
 9.5	iso	r	  0.834	 -0.478	3.701	  6.287	 0.889
 9.5	iso	r	  0.837	 -0.468	3.703	  6.257	 0.882
 9.5	iso	r	  0.841	 -0.458	3.704	  6.227	 0.875
 9.5	iso	r	  0.845	 -0.448	3.706	  6.198	 0.868
 9.5	iso	r	  0.848	 -0.438	3.707	  6.168	 0.861
 9.5	iso	r	  0.852	 -0.429	3.709	  6.138	 0.854
 9.5	iso	r	  0.856	 -0.419	3.710	  6.109	 0.847
 9.5	iso	r	  0.860	 -0.409	3.712	  6.080	 0.840
 9.5	iso	r	  0.863	 -0.399	3.713	  6.050	 0.833
 9.5	iso	r	  0.867	 -0.390	3.715	  6.021	 0.826
 9.5	iso	r	  0.871	 -0.380	3.716	  5.992	 0.819
 9.5	iso	r	  0.874	 -0.370	3.717	  5.963	 0.812
 9.5	iso	r	  0.878	 -0.361	3.719	  5.934	 0.806
 9.5	iso	r	  0.882	 -0.351	3.720	  5.905	 0.799
 9.5	iso	r	  0.886	 -0.341	3.722	  5.876	 0.792
 9.5	iso	r	  0.889	 -0.332	3.723	  5.847	 0.784
 9.5	iso	r	  0.893	 -0.322	3.724	  5.819	 0.777
 9.5	iso	r	  0.897	 -0.313	3.726	  5.790	 0.770
 9.5	iso	r	  0.901	 -0.303	3.727	  5.762	 0.764
 9.5	iso	r	  0.904	 -0.294	3.728	  5.734	 0.757
 9.5	iso	r	  0.908	 -0.284	3.730	  5.706	 0.751
 9.5	iso	r	  0.912	 -0.275	3.731	  5.678	 0.745
 9.5	iso	r	  0.915	 -0.265	3.732	  5.650	 0.739
 9.5	iso	r	  0.919	 -0.256	3.734	  5.622	 0.733
 9.5	iso	r	  0.923	 -0.246	3.735	  5.594	 0.727
