#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-02-05T00:02:22 [V7.32.7]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2024-02-05T00:02:22	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=50
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=10.1
#-out=iso
#iso=iso
#Rot=r
#-out=Zini
#Zini=0.014
#-out=Vmag
#-out=B-V
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.7	
#INFO	-out.max=50	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
logAge	iso	Zini	Vmag	B-V
[yr]	 	 	mag	mag
----	---	-----	-------	------
10.1	iso	0.014	  6.208	 0.899
10.1	iso	0.014	  6.169	 0.890
10.1	iso	0.014	  6.129	 0.882
10.1	iso	0.014	  6.090	 0.874
10.1	iso	0.014	  6.050	 0.866
10.1	iso	0.014	  6.011	 0.858
10.1	iso	0.014	  5.971	 0.850
10.1	iso	0.014	  5.931	 0.842
10.1	iso	0.014	  5.892	 0.835
10.1	iso	0.014	  5.852	 0.827
10.1	iso	0.014	  5.812	 0.819
10.1	iso	0.014	  5.772	 0.811
10.1	iso	0.014	  5.732	 0.804
10.1	iso	0.014	  5.691	 0.796
10.1	iso	0.014	  5.651	 0.788
10.1	iso	0.014	  5.610	 0.780
10.1	iso	0.014	  5.569	 0.773
10.1	iso	0.014	  5.529	 0.765
10.1	iso	0.014	  5.488	 0.758
10.1	iso	0.014	  5.447	 0.750
10.1	iso	0.014	  5.406	 0.743
10.1	iso	0.014	  5.364	 0.736
10.1	iso	0.014	  5.323	 0.729
10.1	iso	0.014	  5.281	 0.723
10.1	iso	0.014	  5.239	 0.716
10.1	iso	0.014	  5.198	 0.710
10.1	iso	0.014	  5.156	 0.704
10.1	iso	0.014	  5.072	 0.694
10.1	iso	0.014	  4.990	 0.687
10.1	iso	0.014	  4.906	 0.681
10.1	iso	0.014	  4.730	 0.671
10.1	iso	0.014	  4.544	 0.667
10.1	iso	0.014	  4.450	 0.671
10.1	iso	0.014	  4.403	 0.676
10.1	iso	0.014	  4.357	 0.681
10.1	iso	0.014	  4.331	 0.687
10.1	iso	0.014	  4.305	 0.693
10.1	iso	0.014	  4.280	 0.701
10.1	iso	0.014	  4.269	 0.706
10.1	iso	0.014	  4.257	 0.714
10.1	iso	0.014	  4.247	 0.721
10.1	iso	0.014	  4.236	 0.730
10.1	iso	0.014	  4.227	 0.739
10.1	iso	0.014	  4.218	 0.748
10.1	iso	0.014	  4.214	 0.754
10.1	iso	0.014	  4.210	 0.759
10.1	iso	0.014	  4.207	 0.765
10.1	iso	0.014	  4.204	 0.771
10.1	iso	0.014	  4.201	 0.777
10.1	iso	0.014	  4.198	 0.784

