Ref    V       B-V     U-B
 0001     1  13.000   0.220   0.060
 0002     1  12.610  -0.020  -0.050
 0005     1  11.860  -0.060  -0.180
 0006     1  13.220   0.190   0.070
 0007     1  12.960   0.040   0.060
 0008     1  11.830  -0.090  -0.310
 0009     1  12.620  -0.020  -0.050
 0014     1  12.330  -0.060  -0.180
 0015     1  12.200  -0.050  -0.150
 0016     1  10.600  -0.160  -0.280
 0017     1  13.090   0.080   0.090
 0018     1  12.320  -0.050  -0.140
 0022     1  11.300  -0.110  -0.360
 0023     1  11.740  -0.090  -0.300
 0024     1  10.010  -0.160  -0.580
 0026     1  10.950  -0.150  -0.530
 0030     1  12.070  -0.030  -0.070
 0032     1  12.470  -0.020  -0.050
 0033     1  10.610  -0.140  -0.490
 0035     1  11.820  -0.060  -0.170
 0040     1  13.270   0.470  -0.050
 0042     1  12.590   0.020   0.030
 0043     1  12.340
 0044     1  12.630   0.070   0.110
 0047     1  11.990  -0.070  -0.230
 0056     1  12.730   0.330   0.010
 0058     1  12.250  -0.060  -0.200
 0059     1  13.110   0.210   0.060
 0061     1   9.960  -0.160  -0.590
 0063     1  10.080  -0.140  -0.500
 0064     1  11.420  -0.130  -0.450
 0065     1  13.340   0.130   0.100
 0067     1  11.390  -0.060  -0.180
 0068     1  12.380  -0.030  -0.070
 0069     1  12.250   0.010   0.010
 0070     1  13.310   0.100   0.090
 0071     1  10.470  -0.140  -0.480
 0072     1  12.040  -0.050  -0.150
 0074     1  13.350   0.170   0.090
 0078     1  13.380   0.170   0.080
 0079     1  12.460  -0.020  -0.060
 0086     1  12.590   0.010   0.010
 0089     1  12.210  -0.020  -0.050
 0092     1  12.140  -0.060  -0.170
 0093     1  10.370  -0.150  -0.540
 0096     1  10.130  -0.170  -0.600
 0097     1  11.060  -0.140  -0.500
 0100     1  13.300   0.190   0.070
 0105     1   9.350  -0.160  -0.600
 0106     1  12.540   0.070   0.090
 0108     1  10.250  -0.170  -0.600
 0112     1  13.190   0.130   0.090
 0113     1  11.660  -0.060  -0.180
 0120     1  13.400   0.160   0.090
 0121     1  10.290  -0.120  -0.440
 0123     1  10.250  -0.160  -0.580
 0125     1   9.920  -0.150  -0.560
 0126     1  11.980  -0.070  -0.220
 0127     1  11.650  -0.090  -0.320
 0130     1  11.840  -0.040  -0.100
 0131     1  11.650  -0.060  -0.200
 0132     1  12.810   0.050   0.070
 0136     1  13.440   0.150   0.080
 0138     1  12.680   0.320
 0141     1  11.410  -0.090  -0.310
 0151     1  10.450  -0.170  -0.590
 0164     1   6.370   1.370   1.630
 0168     1  10.770  -0.130  -0.460
 0170     1   7.010   0.430   0.230
 0172     1   9.010  -0.140  -0.530
 0174     1  10.760  -0.110  -0.360
 0175     1  10.710  -0.100  -0.340
 0177     1  10.500  -0.170  -0.610
 0178     1  11.020  -0.170  -0.590
 0179     1  10.770  -0.150  -0.530
 0180     1  11.470  -0.070  -0.240
 0182     1  12.360  -0.010  -0.050
 0183     1  12.250  -0.050  -0.140
 0184     1  12.180  -0.050  -0.130
 0186     1  12.260  -0.030  -0.070
 0189     1  13.250   0.070   0.430
 0190     1  12.310   0.070   0.620
 0191     1  13.310   0.140   0.180
 0192     1  13.580   0.230   0.050
 0193     1  12.970   0.280   0.300
 0200     1   7.310   0.730   0.510
 0204     1  12.390  -0.030  -0.070
 0227     1  13.460   0.240   0.050
 0245     1  13.290   0.150   0.090
 0247     1  13.300   0.260   0.040
 0266     1  13.080   0.080   0.090
 0267     1  13.040   0.130   0.090
 0270     1  13.130   0.150   0.080
 0271     1  13.370   0.520  -0.090
