  NoRef    V       B-V     U-B
 0002    13   7.040   0.440        
 0021    13   7.520  -0.300        
 0022    13   8.870  -0.170        
 0026    13   9.500  -0.100        
 0039    13  10.310   0.040        
 0049    13   8.320  -0.290        
 0053    13   9.270  -0.260        
 0069    13   9.830  -0.180        
 0070    13   5.470  -0.220        
 0072    13   0.240  -0.110        
 0074    13   8.810   1.100        
 0103    13   8.220  -0.300        
 0104    13   6.050  -0.350        
 0107    13   9.540   0.560        
 0108    13  10.640  -0.020        
 0109    13  11.520   0.030        
 0111    13   9.300  -0.240        
 0112    13   7.340  -0.320        
 0118    13   7.970  -0.310        
 0119    13   9.310   1.040        
 0121    13   8.990  -0.250        
 0136    13   8.380  -0.260        
 0138    13   7.300  -0.320        
 0139    13  10.680  -0.180        
 0148    13   5.560  -0.350        
 0149    13   9.300  -0.200        
 0156    13   6.570  -0.280        
 0157    13  11.150  -0.160        
 0160    13   5.170  -0.320        
 0162    13  10.250  -0.220        
 0163    13   9.550  -0.240        
 0165    13  10.220  -0.260        
 0169    13   8.980  -0.240        
 0170    13   8.280  -0.130        
 0174    13   9.180  -0.240        
 0175    13  10.500  -0.180        
 0180    13  10.410  -0.140        
 0183    13   8.690  -0.280        
 0184    13  11.090  -0.070        
 0185    13   8.870  -0.240        
 0187    13   9.890  -0.110        
 0188    13  10.150  -0.240        
 0189    13  11.320  -0.110        
 0192    13   6.250  -0.350        
 0195    13  10.800   0.870        
 0201    13   9.460  -0.290        
 0211    13   8.620  -0.260        
 0215    13   9.300   0.900        
 0221    13   9.610  -0.100        
 0232    13   6.930  -0.310        
 0244    13  10.670  -0.010        
 0250    13  10.210   0.030        
 0258    13   8.080  -0.280        
 0260    13   9.470  -0.240        
 0262    13   9.500  -0.270        
 0277    13  10.190  -0.230        
 0278    13  10.000  -0.020        
 0288    13   9.110  -0.250        
 0290    13   9.370  -0.030        
 0300    13  10.370  -0.060        
 0301    13   9.490  -0.160        
 0303    13   9.660  -0.020        
 0308    13   9.080   0.950        
 0339    13  10.930  -0.060        
 0341    13  10.020  -0.070        
 0346    13  11.290  -0.040  
