Ref,V,B-V,U-B,B
2,13,7.04,0.44,20.04
21,13,7.52,-0.3,20.52
22,13,8.87,-0.17,21.869999999999997
26,13,9.5,-0.1,22.5
39,13,10.31,0.04,23.310000000000002
49,13,8.32,-0.29,21.32
53,13,9.27,-0.26,22.27
69,13,9.83,-0.18,22.83
70,13,5.47,-0.22,18.47
72,13,0.24,-0.11,13.24
74,13,8.81,1.1,21.810000000000002
103,13,8.22,-0.3,21.22
104,13,6.05,-0.35,19.05
107,13,9.54,0.56,22.54
108,13,10.64,-0.02,23.64
109,13,11.52,0.03,24.52
111,13,9.3,-0.24,22.3
112,13,7.34,-0.32,20.34
118,13,7.97,-0.31,20.97
119,13,9.31,1.04,22.310000000000002
121,13,8.99,-0.25,21.990000000000002
136,13,8.38,-0.26,21.380000000000003
138,13,7.3,-0.32,20.3
139,13,10.68,-0.18,23.68
148,13,5.56,-0.35,18.56
149,13,9.3,-0.2,22.3
156,13,6.57,-0.28,19.57
157,13,11.15,-0.16,24.15
160,13,5.17,-0.32,18.17
162,13,10.25,-0.22,23.25
163,13,9.55,-0.24,22.55
165,13,10.22,-0.26,23.22
169,13,8.98,-0.24,21.98
170,13,8.28,-0.13,21.28
174,13,9.18,-0.24,22.18
175,13,10.5,-0.18,23.5
180,13,10.41,-0.14,23.41
183,13,8.69,-0.28,21.689999999999998
184,13,11.09,-0.07,24.09
185,13,8.87,-0.24,21.869999999999997
187,13,9.89,-0.11,22.89
188,13,10.15,-0.24,23.15
189,13,11.32,-0.11,24.32
192,13,6.25,-0.35,19.25
195,13,10.8,0.87,23.8
201,13,9.46,-0.29,22.46
211,13,8.62,-0.26,21.619999999999997
215,13,9.3,0.9,22.3
221,13,9.61,-0.1,22.61
232,13,6.93,-0.31,19.93
244,13,10.67,-0.01,23.67
250,13,10.21,0.03,23.21
258,13,8.08,-0.28,21.08
260,13,9.47,-0.24,22.47
262,13,9.5,-0.27,22.5
277,13,10.19,-0.23,23.189999999999998
278,13,10.0,-0.02,23.0
288,13,9.11,-0.25,22.11
290,13,9.37,-0.03,22.369999999999997
300,13,10.37,-0.06,23.369999999999997
301,13,9.49,-0.16,22.490000000000002
303,13,9.66,-0.02,22.66
308,13,9.08,0.95,22.08
339,13,10.93,-0.06,23.93
341,13,10.02,-0.07,23.02
346,13,11.29,-0.04,24.29
